Atom ID 0, Charge -0.03192189780445798
Atom ID 1, Charge -0.09830239373865801
Atom ID 2, Charge -0.02240440419730927
Atom ID 3, Charge -0.022404415573918257
Atom ID 4, Charge -0.09830615408353793
Atom ID 5, Charge -0.03192189244488919
Atom ID 6, Charge -0.03192188429065901
Atom ID 7, Charge -0.09830238087239795
Atom ID 8, Charge -0.022404426157213386
Atom ID 9, Charge -0.022404395695347468
Atom ID 10, Charge -0.09830614837560159
Atom ID 11, Charge -0.03192190507039783
Atom ID 12, Charge -0.03192710580250058
Atom ID 13, Charge -0.09830116008597312
Atom ID 14, Charge -0.0223905798710069
Atom ID 15, Charge -0.022405238869590782
Atom ID 16, Charge -0.09830118208415861
Atom ID 17, Charge -0.031914333291449104
Atom ID 18, Charge -0.031927116653880816
Atom ID 19, Charge -0.09830116690863644
Atom ID 20, Charge -0.02239053992736828
Atom ID 21, Charge -0.022405218620380474
Atom ID 22, Charge -0.09830117581619024
Atom ID 23, Charge -0.03191433177000125
Atom ID 24, Charge -0.03191433558491408
Atom ID 25, Charge -0.09830615940854592
Atom ID 26, Charge -0.022405215611404294
Atom ID 27, Charge -0.022390544850667382
Atom ID 28, Charge -0.09830237681956877
Atom ID 29, Charge -0.031927113567203236
Atom ID 30, Charge -0.0319143377152411
Atom ID 31, Charge -0.09830616762857503
Atom ID 32, Charge -0.02240523266241823
Atom ID 33, Charge -0.022390584984093742
Atom ID 34, Charge -0.0983023913766301
Atom ID 35, Charge -0.03192710189095305
Atom ID 36, Charge -0.02832706688786768
Atom ID 37, Charge -0.03014306981894066
Atom ID 38, Charge -0.028321277251233568
Atom ID 39, Charge -0.028328655515005963
Atom ID 40, Charge -0.030143026141122853
Atom ID 41, Charge -0.028313537721997406
Atom ID 42, Charge -0.028327096253001116
Atom ID 43, Charge -0.030143039764573665
Atom ID 44, Charge -0.028321251908235645
Atom ID 45, Charge -0.028328667130911533
Atom ID 46, Charge -0.030143052274328674
Atom ID 47, Charge -0.02831355323272966
Atom ID 48, Charge -0.02831354349892745
Atom ID 49, Charge -0.030136988387883257
Atom ID 50, Charge -0.028328687179511647
Atom ID 51, Charge -0.028321262214029197
Atom ID 52, Charge -0.030112691711773998
Atom ID 53, Charge -0.028327081967012724
Atom ID 54, Charge -0.02831352807472154
Atom ID 55, Charge -0.030137023262200913
Atom ID 56, Charge -0.02832866757521657
Atom ID 57, Charge -0.028321283569949784
Atom ID 58, Charge -0.030112700607565657
Atom ID 59, Charge -0.028327051081659782
Atom ID 60, Charge -0.02832682921055163
Atom ID 61, Charge -0.03011268604155326
Atom ID 62, Charge -0.028332537423077397
Atom ID 63, Charge -0.028332585087871287
Atom ID 64, Charge -0.030137026464416294
Atom ID 65, Charge -0.028326819463002195
Atom ID 66, Charge -0.028326811947085417
Atom ID 67, Charge -0.03011267757609737
Atom ID 68, Charge -0.02833257453108562
Atom ID 69, Charge -0.02833254217037595
Atom ID 70, Charge -0.030136987811665072
Atom ID 71, Charge -0.02832683280645565
Atom ID 72, Charge -0.017923975000633696
Atom ID 73, Charge -0.016558133576317857
Atom ID 74, Charge -0.004564767242722034
Atom ID 75, Charge -0.004516069186600191
Atom ID 76, Charge -0.016545729728705716
Atom ID 77, Charge -0.017942132997998073
Atom ID 78, Charge -0.01792397166070625
Atom ID 79, Charge -0.016558143435196016
Atom ID 80, Charge -0.004564553794114801
Atom ID 81, Charge -0.004515275040110289
Atom ID 82, Charge -0.016545747040283665
Atom ID 83, Charge -0.017942105714948475
Atom ID 84, Charge -0.017923681667006974
Atom ID 85, Charge -0.016545671541136286
Atom ID 86, Charge -0.004498487894871062
Atom ID 87, Charge -0.0044979409268188775
Atom ID 88, Charge -0.016558110942019866
Atom ID 89, Charge -0.017923752313717678
Atom ID 90, Charge -0.01792366376730392
Atom ID 91, Charge -0.016545650435125125
Atom ID 92, Charge -0.004498533869805144
Atom ID 93, Charge -0.00449766763123538
Atom ID 94, Charge -0.016558099545235017
Atom ID 95, Charge -0.017923763404797732
Atom ID 96, Charge -0.017941883399750225
Atom ID 97, Charge -0.016557924558967763
Atom ID 98, Charge -0.004514028403969306
Atom ID 99, Charge -0.004563954495333533
Atom ID 100, Charge -0.016557884753375163
Atom ID 101, Charge -0.017923664100320202
Atom ID 102, Charge -0.017941905836352134
