Atom ID 0, Charge -0.03173256449779238
Atom ID 1, Charge -0.09856773135291697
Atom ID 2, Charge -0.021313854806560784
Atom ID 3, Charge -0.021313890833726035
Atom ID 4, Charge -0.09857285322875153
Atom ID 5, Charge -0.03173253527967557
Atom ID 6, Charge -0.031732536353853646
Atom ID 7, Charge -0.098567730926022
Atom ID 8, Charge -0.021313888892404265
Atom ID 9, Charge -0.02131385630021576
Atom ID 10, Charge -0.09857286553288525
Atom ID 11, Charge -0.0317325634513006
Atom ID 12, Charge -0.031739041202551554
Atom ID 13, Charge -0.0985661410263452
Atom ID 14, Charge -0.02130243575042634
Atom ID 15, Charge -0.021319158013663575
Atom ID 16, Charge -0.09856614924434925
Atom ID 17, Charge -0.03172518874083341
Atom ID 18, Charge -0.03173905629287166
Atom ID 19, Charge -0.09856615019674919
Atom ID 20, Charge -0.02130237244411326
Atom ID 21, Charge -0.021319130905321337
Atom ID 22, Charge -0.09856613910358814
Atom ID 23, Charge -0.03172517204961345
Atom ID 24, Charge -0.03172517044084522
Atom ID 25, Charge -0.09857286649683683
Atom ID 26, Charge -0.021319128727053993
Atom ID 27, Charge -0.021302368643459246
Atom ID 28, Charge -0.09856773285929155
Atom ID 29, Charge -0.03173905594059789
Atom ID 30, Charge -0.03172518691502102
Atom ID 31, Charge -0.09857285320701781
Atom ID 32, Charge -0.021319155880178187
Atom ID 33, Charge -0.021302431812284084
Atom ID 34, Charge -0.09856773200684099
Atom ID 35, Charge -0.03173904093711766
Atom ID 36, Charge -0.026911696021751474
Atom ID 37, Charge -0.030546583334911226
Atom ID 38, Charge -0.030434840382084438
Atom ID 39, Charge -0.03043915648632911
Atom ID 40, Charge -0.03054652165253735
Atom ID 41, Charge -0.02689444876081204
Atom ID 42, Charge -0.026911736036148604
Atom ID 43, Charge -0.030546521135181415
Atom ID 44, Charge -0.03043486241144855
Atom ID 45, Charge -0.030439265783220648
Atom ID 46, Charge -0.030546584825989598
Atom ID 47, Charge -0.026894469100909646
Atom ID 48, Charge -0.026894471695509736
Atom ID 49, Charge -0.030540327236552756
Atom ID 50, Charge -0.030439257862930447
Atom ID 51, Charge -0.03043485880117558
Atom ID 52, Charge -0.030517526470691614
Atom ID 53, Charge -0.02691174232537108
Atom ID 54, Charge -0.026894451452293744
Atom ID 55, Charge -0.030540378967716997
Atom ID 56, Charge -0.03043915139069231
Atom ID 57, Charge -0.03043483812904757
Atom ID 58, Charge -0.030517519491286116
Atom ID 59, Charge -0.026911702481050348
Atom ID 60, Charge -0.02691495436398572
Atom ID 61, Charge -0.030517518242034747
Atom ID 62, Charge -0.030439154597722506
Atom ID 63, Charge -0.030439242230939634
Atom ID 64, Charge -0.030540376961356586
Atom ID 65, Charge -0.026914932577190243
Atom ID 66, Charge -0.026914935980354215
Atom ID 67, Charge -0.03051752571694699
Atom ID 68, Charge -0.0304392461519587
Atom ID 69, Charge -0.030439152216646725
Atom ID 70, Charge -0.03054032631741954
Atom ID 71, Charge -0.02691495145969558
Atom ID 72, Charge -0.03792580081030117
Atom ID 73, Charge -0.021999413896540254
Atom ID 74, Charge -0.08354269308651663
Atom ID 75, Charge -0.08325172248176305
Atom ID 76, Charge -0.02199200871252227
Atom ID 77, Charge -0.0379645541903999
Atom ID 78, Charge -0.03792576207944798
Atom ID 79, Charge -0.021999329320107286
Atom ID 80, Charge -0.0835422810537807
Atom ID 81, Charge -0.08324971809646264
Atom ID 82, Charge -0.021991963275442394
Atom ID 83, Charge -0.037964502619981744
Atom ID 84, Charge -0.037842458729104855
Atom ID 85, Charge -0.021991985314557816
Atom ID 86, Charge -0.083005832291839
Atom ID 87, Charge -0.08300509343710694
Atom ID 88, Charge -0.021999346684754784
Atom ID 89, Charge -0.037842434759389754
Atom ID 90, Charge -0.03784245699327471
Atom ID 91, Charge -0.021992032917517612
Atom ID 92, Charge -0.08300485956092452
Atom ID 93, Charge -0.08300603913009574
Atom ID 94, Charge -0.021999435317669125
Atom ID 95, Charge -0.037842440634165975
Atom ID 96, Charge -0.03796458048773399
Atom ID 97, Charge -0.02202515772954161
Atom ID 98, Charge -0.08325015273847214
Atom ID 99, Charge -0.08354248552784505
Atom ID 100, Charge -0.022025190902859038
Atom ID 101, Charge -0.03792586026777833
Atom ID 102, Charge -0.03796463499179481
Atom ID 103, Charge -0.022025187387860967
Atom ID 104, Charge -0.083252193937847
Atom ID 105, Charge -0.0835429170533315
Atom ID 106, Charge -0.02202516315091607
Atom ID 107, Charge -0.03792590031240106
Atom ID 108, Charge 0.03670645738306977
Atom ID 109, Charge 0.03673087145259224
Atom ID 110, Charge 0.24157940996128957
Atom ID 111, Charge 0.01984843643776435
Atom ID 112, Charge 0.019813529319613887
Atom ID 113, Charge 0.01984842934263431
Atom ID 114, Charge 0.01981352773617695
Atom ID 115, Charge 0.01982726523796563
Atom ID 116, Charge 0.01982727252907379
Atom ID 117, Charge 0.019827271435196248
Atom ID 118, Charge 0.01982726671734769
Atom ID 119, Charge 0.019813527788312357
Atom ID 120, Charge 0.01984842837683709
Atom ID 121, Charge 0.019813529655092865
Atom ID 122, Charge 0.01984843593711383
Atom ID 123, Charge 0.017402376063979208
Atom ID 124, Charge 0.017552734285332883
Atom ID 125, Charge 0.017403910591695104
Atom ID 126, Charge 0.017548766463781118
