Atom ID 0, Charge -0.0320054852015943
Atom ID 1, Charge -0.09809279172327834
Atom ID 2, Charge -0.02169876799261239
Atom ID 3, Charge -0.02169877847610291
Atom ID 4, Charge -0.09845768380948261
Atom ID 5, Charge -0.03200548620851418
Atom ID 6, Charge -0.03200547677043364
Atom ID 7, Charge -0.09809276579918258
Atom ID 8, Charge -0.021698790114010436
Atom ID 9, Charge -0.02169875417581757
Atom ID 10, Charge -0.09845766524876343
Atom ID 11, Charge -0.03200549991730295
Atom ID 12, Charge -0.031663337427701777
Atom ID 13, Charge -0.09829224033402273
Atom ID 14, Charge -0.021483043428520254
Atom ID 15, Charge -0.022444285756287208
Atom ID 16, Charge -0.098292261297666
Atom ID 17, Charge -0.03196963771120753
Atom ID 18, Charge -0.03166334696631612
Atom ID 19, Charge -0.09829224372514567
Atom ID 20, Charge -0.021483007623807282
Atom ID 21, Charge -0.022444246968220227
Atom ID 22, Charge -0.09829226708381977
Atom ID 23, Charge -0.03196965109489103
Atom ID 24, Charge -0.03196965521406714
Atom ID 25, Charge -0.09845768149384782
Atom ID 26, Charge -0.02244425390539373
Atom ID 27, Charge -0.021483013595534395
Atom ID 28, Charge -0.09809275882488233
Atom ID 29, Charge -0.03166334059957432
Atom ID 30, Charge -0.031969645492814
Atom ID 31, Charge -0.09845770559225464
Atom ID 32, Charge -0.022444269747558643
Atom ID 33, Charge -0.021483042145162834
Atom ID 34, Charge -0.09809278690549661
Atom ID 35, Charge -0.03166333185854864
Atom ID 36, Charge -0.025771345678934132
Atom ID 37, Charge -0.02854512332596748
Atom ID 38, Charge -0.027802381155789035
Atom ID 39, Charge -0.012967389111119054
Atom ID 40, Charge -0.02854508975073422
Atom ID 41, Charge -0.026272143519982194
Atom ID 42, Charge -0.02577139474671153
Atom ID 43, Charge -0.028545095986431512
Atom ID 44, Charge -0.02780235199367631
Atom ID 45, Charge -0.012967394952056566
Atom ID 46, Charge -0.028545105615400246
Atom ID 47, Charge -0.026272173252681164
Atom ID 48, Charge -0.026272159941103546
Atom ID 49, Charge -0.030035298407194766
Atom ID 50, Charge -0.012967426035496388
Atom ID 51, Charge -0.02780237486877457
Atom ID 52, Charge -0.0302357540267586
Atom ID 53, Charge -0.02577138009826374
Atom ID 54, Charge -0.026272138553383506
Atom ID 55, Charge -0.030035334065049213
Atom ID 56, Charge -0.01296741666212231
Atom ID 57, Charge -0.027802402259422543
Atom ID 58, Charge -0.0302357501143371
Atom ID 59, Charge -0.025771331484755855
Atom ID 60, Charge -0.028201935225578012
Atom ID 61, Charge -0.030235735409488207
Atom ID 62, Charge -0.029326480432613877
Atom ID 63, Charge -0.029326569067247732
Atom ID 64, Charge -0.030035341903867696
Atom ID 65, Charge -0.028201916781505076
Atom ID 66, Charge -0.028201912587372924
Atom ID 67, Charge -0.030235735340535363
Atom ID 68, Charge -0.029326549889791664
Atom ID 69, Charge -0.029326494508068457
Atom ID 70, Charge -0.03003530278338129
Atom ID 71, Charge -0.028201945060259526
Atom ID 72, Charge -0.027458361355342298
Atom ID 73, Charge -0.0023075947890092152
Atom ID 74, Charge -0.042078503153501146
Atom ID 75, Charge -0.03984642231452096
Atom ID 76, Charge -0.01832480068829323
Atom ID 77, Charge -0.028350177685124933
Atom ID 78, Charge -0.027458377826186542
Atom ID 79, Charge -0.002307583686146586
Atom ID 80, Charge -0.04207826283166227
Atom ID 81, Charge -0.03984518293874029
Atom ID 82, Charge -0.018324833397663554
Atom ID 83, Charge -0.028350161323556833
Atom ID 84, Charge -0.014305632477614516
Atom ID 85, Charge -0.01832473846846483
Atom ID 86, Charge -0.04278840125409644
Atom ID 87, Charge -0.042786504103577094
Atom ID 88, Charge -0.002307517221810329
Atom ID 89, Charge -0.014305725310769901
Atom ID 90, Charge -0.014305615761229795
Atom ID 91, Charge -0.01832470692295818
Atom ID 92, Charge -0.04278739273849741
Atom ID 93, Charge -0.04278736011783568
Atom ID 94, Charge -0.0023075345286418525
Atom ID 95, Charge -0.014305736301735372
Atom ID 96, Charge -0.028349888010015256
Atom ID 97, Charge -0.019121778776926668
Atom ID 98, Charge -0.0398435169337219
Atom ID 99, Charge -0.04207748613158646
Atom ID 100, Charge -0.019121737514588233
Atom ID 101, Charge -0.027458000884324818
Atom ID 102, Charge -0.028349891481862066
Atom ID 103, Charge -0.019121773242607887
Atom ID 104, Charge -0.03984464661314835
Atom ID 105, Charge -0.04207769143586049
Atom ID 106, Charge -0.019121744150564446
