Atom ID 0, Charge -0.03194212983174172
Atom ID 1, Charge -0.09813097139672866
Atom ID 2, Charge -0.02138060335533698
Atom ID 3, Charge -0.02138067933409804
Atom ID 4, Charge -0.09848468491706441
Atom ID 5, Charge -0.031942074814106824
Atom ID 6, Charge -0.031942106438187956
Atom ID 7, Charge -0.09813096249043607
Atom ID 8, Charge -0.02138065844895287
Atom ID 9, Charge -0.021380630003600132
Atom ID 10, Charge -0.0984846922635425
Atom ID 11, Charge -0.031942096864129965
Atom ID 12, Charge -0.03167176914908154
Atom ID 13, Charge -0.098358945837699
Atom ID 14, Charge -0.021305879547798945
Atom ID 15, Charge -0.022192590342502427
Atom ID 16, Charge -0.09835889217070903
Atom ID 17, Charge -0.03190716625766843
Atom ID 18, Charge -0.03167178516485869
Atom ID 19, Charge -0.0983589577299826
Atom ID 20, Charge -0.021305812853572803
Atom ID 21, Charge -0.022192573914997737
Atom ID 22, Charge -0.09835887571816482
Atom ID 23, Charge -0.031907165653877634
Atom ID 24, Charge -0.03190713846926574
Atom ID 25, Charge -0.09848462841568217
Atom ID 26, Charge -0.02219259284808306
Atom ID 27, Charge -0.021305813786299588
Atom ID 28, Charge -0.09813096772255037
Atom ID 29, Charge -0.031671788201493634
Atom ID 30, Charge -0.03190713093940367
Atom ID 31, Charge -0.09848462727792828
Atom ID 32, Charge -0.02219260156744607
Atom ID 33, Charge -0.021305880172713287
Atom ID 34, Charge -0.09813098175689738
Atom ID 35, Charge -0.03167177169400137
Atom ID 36, Charge -0.025492412396973307
Atom ID 37, Charge -0.02865171060710736
Atom ID 38, Charge -0.02828547923805047
Atom ID 39, Charge -0.013405877216334794
Atom ID 40, Charge -0.02865169365833964
Atom ID 41, Charge -0.025971686205921607
Atom ID 42, Charge -0.02549247331680249
Atom ID 43, Charge -0.0286516548408402
Atom ID 44, Charge -0.028285453700974905
Atom ID 45, Charge -0.013405887809715189
Atom ID 46, Charge -0.028651740328014874
Atom ID 47, Charge -0.02597170537996174
Atom ID 48, Charge -0.025971731789248054
Atom ID 49, Charge -0.030112547675713586
Atom ID 50, Charge -0.01340581783405348
Atom ID 51, Charge -0.02828541917777283
Atom ID 52, Charge -0.030367468314596024
Atom ID 53, Charge -0.025492512930691547
Atom ID 54, Charge -0.025971720643766183
Atom ID 55, Charge -0.030112620410059243
Atom ID 56, Charge -0.013405795971163315
Atom ID 57, Charge -0.028285440598647682
Atom ID 58, Charge -0.030367482056535167
Atom ID 59, Charge -0.02549245702820091
Atom ID 60, Charge -0.027957668578754813
Atom ID 61, Charge -0.03036750241014996
Atom ID 62, Charge -0.02960010214139519
Atom ID 63, Charge -0.029600179949000882
Atom ID 64, Charge -0.030112589936764245
Atom ID 65, Charge -0.027957661614766316
Atom ID 66, Charge -0.02795763261045714
Atom ID 67, Charge -0.0303674921176329
Atom ID 68, Charge -0.029600187391557675
Atom ID 69, Charge -0.02960007930370434
Atom ID 70, Charge -0.03011251064579401
Atom ID 71, Charge -0.027957694313821335
Atom ID 72, Charge -0.031478041002046986
Atom ID 73, Charge -0.0033986765793185825
Atom ID 74, Charge -0.060955961716265605
Atom ID 75, Charge -0.061562904166811094
Atom ID 76, Charge -0.019252526552659965
Atom ID 77, Charge -0.03282767330763825
Atom ID 78, Charge -0.03147795703293532
Atom ID 79, Charge -0.003398636308377334
Atom ID 80, Charge -0.0609551796180714
Atom ID 81, Charge -0.061551219186692485
Atom ID 82, Charge -0.019252530744283902
Atom ID 83, Charge -0.03282762061910649
Atom ID 84, Charge -0.017945329625683293
Atom ID 85, Charge -0.01925274457320114
Atom ID 86, Charge -0.06892485700827589
Atom ID 87, Charge -0.0688939762395302
Atom ID 88, Charge -0.003398844910910803
Atom ID 89, Charge -0.017945713505905125
Atom ID 90, Charge -0.01794552942617944
Atom ID 91, Charge -0.019252728941137498
Atom ID 92, Charge -0.06891259921475434
Atom ID 93, Charge -0.06890941948026619
Atom ID 94, Charge -0.0033988850723360997
Atom ID 95, Charge -0.017945547715901178
Atom ID 96, Charge -0.032828256347372964
Atom ID 97, Charge -0.020463780862285397
Atom ID 98, Charge -0.06153814725417295
Atom ID 99, Charge -0.06095596172998974
Atom ID 100, Charge -0.02046385053776234
Atom ID 101, Charge -0.03147862011468394
Atom ID 102, Charge -0.032828298709874026
Atom ID 103, Charge -0.020463819491629565
Atom ID 104, Charge -0.06155104287933533
Atom ID 105, Charge -0.06095680133947834
Atom ID 106, Charge -0.020463806657681438
Atom ID 107, Charge -0.031478685941570106
Atom ID 108, Charge 0.03973522166924859
Atom ID 109, Charge 0.03971504917216784
Atom ID 110, Charge 0.26213703094305174
Atom ID 111, Charge 0.019873782318342692
Atom ID 112, Charge 0.01979923421224583
Atom ID 113, Charge 0.019873783145478163
Atom ID 114, Charge 0.019799232517513476
Atom ID 115, Charge 0.01988192277859957
Atom ID 116, Charge 0.01988195650901181
Atom ID 117, Charge 0.019881919862602127
Atom ID 118, Charge 0.019881960822949907
Atom ID 119, Charge 0.019799261341004293
Atom ID 120, Charge 0.019873783121725275
Atom ID 121, Charge 0.019799261201359664
Atom ID 122, Charge 0.01987378360801806
Atom ID 123, Charge 0.030783825477055604
Atom ID 124, Charge 0.012717758230179843
Atom ID 125, Charge 0.03080320593360708
Atom ID 126, Charge 0.012810560123989512
Atom ID 127, Charge -0.01703624388129188
Atom ID 128, Charge -0.016920078233211067
Atom ID 129, Charge -0.016994678283443143
Atom ID 130, Charge -0.016980280749463894
Atom ID 131, Charge 0.012892989918847464
Atom ID 132, Charge 0.030818257677562966
Atom ID 133, Charge 0.012803422342240856
Atom ID 134, Charge 0.03080002615900146
Atom ID 135, Charge 0.07789582290158781
Atom ID 136, Charge 0.06624445503348242
Atom ID 137, Charge 0.07800999610164028
Atom ID 138, Charge 0.06564858494588377
Atom ID 139, Charge 0.18265138392755897
Atom ID 140, Charge 0.1826139647902032
Atom ID 141, Charge 0.18270412532327107
Atom ID 142, Charge 0.18270614276964192
Atom ID 143, Charge 0.18270407942897293
Atom ID 144, Charge 0.18270609112620306
Atom ID 145, Charge 0.1822035801931392
Atom ID 146, Charge 0.18158395725522825
Atom ID 147, Charge 0.1822035830851334
Atom ID 148, Charge 0.18158395822590512
Atom ID 149, Charge 0.18089584786983526
Atom ID 150, Charge 0.1808509326133949
Atom ID 151, Charge 0.18218232674503998
Atom ID 152, Charge 0.1815144668962203
Atom ID 153, Charge 0.1695941765097677
Atom ID 154, Charge 0.18218193502176483
Atom ID 155, Charge 0.1815141708452317
Atom ID 156, Charge -0.4038906090018326
Atom ID 157, Charge -0.23607771528462074
Atom ID 158, Charge -0.08078246021331381
Atom ID 159, Charge -0.0815768935545993
