Atom ID 0, Charge -0.03263257869551506
Atom ID 1, Charge -0.09786931651523467
Atom ID 2, Charge -0.02098099404789533
Atom ID 3, Charge -0.020981049614318792
Atom ID 4, Charge -0.09787614568053282
Atom ID 5, Charge -0.03263254963013651
Atom ID 6, Charge -0.03263254604141075
Atom ID 7, Charge -0.09786928578996523
Atom ID 8, Charge -0.020981052039169334
Atom ID 9, Charge -0.02098099014637267
Atom ID 10, Charge -0.09787619043946094
Atom ID 11, Charge -0.03263258062035046
Atom ID 12, Charge -0.03263943962223248
Atom ID 13, Charge -0.09787003953371265
Atom ID 14, Charge -0.02096471357568408
Atom ID 15, Charge -0.020980398465053618
Atom ID 16, Charge -0.0978700562112742
Atom ID 17, Charge -0.03262442555130285
Atom ID 18, Charge -0.03263944404309438
Atom ID 19, Charge -0.09787005082453959
Atom ID 20, Charge -0.020964651385294353
Atom ID 21, Charge -0.020980377931341998
Atom ID 22, Charge -0.09787004420553203
Atom ID 23, Charge -0.03262438945810775
Atom ID 24, Charge -0.03262438932073408
Atom ID 25, Charge -0.0978761911811219
Atom ID 26, Charge -0.020980376808811485
Atom ID 27, Charge -0.02096465197429609
Atom ID 28, Charge -0.09786928407398499
Atom ID 29, Charge -0.03263944377709205
Atom ID 30, Charge -0.03262442640335195
Atom ID 31, Charge -0.09787615085195434
Atom ID 32, Charge -0.02098039798725093
Atom ID 33, Charge -0.020964717700372226
Atom ID 34, Charge -0.09786931412936006
Atom ID 35, Charge -0.032639439221462396
Atom ID 36, Charge -0.024744664158737883
Atom ID 37, Charge -0.029641007098380356
Atom ID 38, Charge -0.03112459717324434
Atom ID 39, Charge -0.031126501325485556
Atom ID 40, Charge -0.029640955958273096
Atom ID 41, Charge -0.024730258026244734
Atom ID 42, Charge -0.024744782097576135
Atom ID 43, Charge -0.02964096147243911
Atom ID 44, Charge -0.031124509597570515
Atom ID 45, Charge -0.031126574439915622
Atom ID 46, Charge -0.02964100018270699
Atom ID 47, Charge -0.024730345737459025
Atom ID 48, Charge -0.02473034560601839
Atom ID 49, Charge -0.029632922173617793
Atom ID 50, Charge -0.031126584255995127
Atom ID 51, Charge -0.0311245144585639
Atom ID 52, Charge -0.029612505113481014
Atom ID 53, Charge -0.02474478184837814
Atom ID 54, Charge -0.02473025809959495
Atom ID 55, Charge -0.029632941936264423
Atom ID 56, Charge -0.031126513579510018
Atom ID 57, Charge -0.031124601450461142
Atom ID 58, Charge -0.029612481471925634
Atom ID 59, Charge -0.024744662444367904
Atom ID 60, Charge -0.02474409449632997
Atom ID 61, Charge -0.029612477677984472
Atom ID 62, Charge -0.031126738172026158
Atom ID 63, Charge -0.03112686835377776
Atom ID 64, Charge -0.029632944827061358
Atom ID 65, Charge -0.0247440984835281
Atom ID 66, Charge -0.02474409729034477
Atom ID 67, Charge -0.029612500804809372
Atom ID 68, Charge -0.0311268604130861
Atom ID 69, Charge -0.03112674380139513
Atom ID 70, Charge -0.029632922854619714
Atom ID 71, Charge -0.024744093702346426
Atom ID 72, Charge -0.03215473601679353
Atom ID 73, Charge -0.014912518577448353
Atom ID 74, Charge -0.04966663302146479
Atom ID 75, Charge -0.04949789210065525
Atom ID 76, Charge -0.014906338937811014
Atom ID 77, Charge -0.032189317116742444
Atom ID 78, Charge -0.03215465611283186
Atom ID 79, Charge -0.014912466616947562
Atom ID 80, Charge -0.04966637875945423
Atom ID 81, Charge -0.04949645935168512
Atom ID 82, Charge -0.014906370988819972
Atom ID 83, Charge -0.03218925534213213
Atom ID 84, Charge -0.03211097445471989
Atom ID 85, Charge -0.014906350459304996
Atom ID 86, Charge -0.049349200228988366
Atom ID 87, Charge -0.049348668434150866
Atom ID 88, Charge -0.014912454587820534
Atom ID 89, Charge -0.032111000085611074
Atom ID 90, Charge -0.03211096842887784
Atom ID 91, Charge -0.014906320145284369
Atom ID 92, Charge -0.04934883485648989
Atom ID 93, Charge -0.04934890573374684
Atom ID 94, Charge -0.014912505321182934
Atom ID 95, Charge -0.03211100571178527
Atom ID 96, Charge -0.032189200126098605
Atom ID 97, Charge -0.014926469642745133
Atom ID 98, Charge -0.04949610824842754
Atom ID 99, Charge -0.04966621139764005
Atom ID 100, Charge -0.014926438593849234
Atom ID 101, Charge -0.032154568569461084
Atom ID 102, Charge -0.03218926009270717
Atom ID 103, Charge -0.01492644344966454
Atom ID 104, Charge -0.04949749625562383
Atom ID 105, Charge -0.04966647016346393
Atom ID 106, Charge -0.014926462018585163
Atom ID 107, Charge -0.03215465103599957
Atom ID 108, Charge 0.03725392856521026
Atom ID 109, Charge 0.037274054825217284
Atom ID 110, Charge 0.24073285712801074
Atom ID 111, Charge 0.02000216348410866
Atom ID 112, Charge 0.019969842699608553
Atom ID 113, Charge 0.020002160623189824
Atom ID 114, Charge 0.01996984110765343
Atom ID 115, Charge 0.01998211396053884
Atom ID 116, Charge 0.019982115677703582
Atom ID 117, Charge 0.019982118282841688
Atom ID 118, Charge 0.0199821124078029
Atom ID 119, Charge 0.019969839924411925
Atom ID 120, Charge 0.02000216175813818
Atom ID 121, Charge 0.01996984036187255
Atom ID 122, Charge 0.020002163268449502
Atom ID 123, Charge 0.04340432000348238
Atom ID 124, Charge 0.04348674556977827
Atom ID 125, Charge 0.04340536927943661
Atom ID 126, Charge 0.0434812994991427
Atom ID 127, Charge 0.04348918027183479
Atom ID 128, Charge 0.04346745477394176
Atom ID 129, Charge 0.043468253680507885
Atom ID 130, Charge 0.04349073497550182
Atom ID 131, Charge 0.04348077335411238
Atom ID 132, Charge 0.04340598903644144
Atom ID 133, Charge 0.04348730324022243
Atom ID 134, Charge 0.043404566419007584
Atom ID 135, Charge 0.07569325672322536
Atom ID 136, Charge 0.06770979083046502
Atom ID 137, Charge 0.07578386244875857
Atom ID 138, Charge 0.06737054464798486
Atom ID 139, Charge 0.1799119677474339
Atom ID 140, Charge 0.17991192176419268
Atom ID 141, Charge 0.17991397868353864
Atom ID 142, Charge 0.17991432243245642
Atom ID 143, Charge 0.17991398005319104
Atom ID 144, Charge 0.17991432403142982
Atom ID 145, Charge 0.17408013705964676
Atom ID 146, Charge 0.17408002878894369
Atom ID 147, Charge 0.17408013840134995
Atom ID 148, Charge 0.1740800288609412
Atom ID 149, Charge 0.1740732058280181
Atom ID 150, Charge 0.17407314235005655
Atom ID 151, Charge 0.17637315493295525
Atom ID 152, Charge 0.17636654395467932
Atom ID 153, Charge 0.17638580043102703
Atom ID 154, Charge 0.1763731858324058
Atom ID 155, Charge 0.17636658549073303
Atom ID 156, Charge 0.1764048771308917
Atom ID 157, Charge -0.2908531896044533
Atom ID 158, Charge -0.08469246951886156
Atom ID 159, Charge -0.08452661511236848
