Atom ID 0, Charge -0.03246420971309849
Atom ID 1, Charge -0.09748934109497043
Atom ID 2, Charge -0.021239778593222347
Atom ID 3, Charge -0.021239816325071104
Atom ID 4, Charge -0.09803709241319769
Atom ID 5, Charge -0.03246419192527572
Atom ID 6, Charge -0.0324641812517541
Atom ID 7, Charge -0.09748935674973058
Atom ID 8, Charge -0.021239827093110897
Atom ID 9, Charge -0.0212397803444615
Atom ID 10, Charge -0.09803708696940383
Atom ID 11, Charge -0.03246422399256943
Atom ID 12, Charge -0.032096402970150706
Atom ID 13, Charge -0.09797074941059769
Atom ID 14, Charge -0.020298029273601692
Atom ID 15, Charge -0.021314733492376448
Atom ID 16, Charge -0.09797077910339791
Atom ID 17, Charge -0.032444151642309293
Atom ID 18, Charge -0.03209638214007615
Atom ID 19, Charge -0.09797077116232256
Atom ID 20, Charge -0.02029797410659029
Atom ID 21, Charge -0.021314771893607976
Atom ID 22, Charge -0.09797077484248362
Atom ID 23, Charge -0.03244410812719423
Atom ID 24, Charge -0.03244411396092772
Atom ID 25, Charge -0.09803710753450279
Atom ID 26, Charge -0.021314768864789002
Atom ID 27, Charge -0.020297960033929918
Atom ID 28, Charge -0.09748935542925796
Atom ID 29, Charge -0.03209638603724585
Atom ID 30, Charge -0.0324441551647201
Atom ID 31, Charge -0.09803711491570155
Atom ID 32, Charge -0.021314716144484436
Atom ID 33, Charge -0.020298024974045425
Atom ID 34, Charge -0.097489335805232
Atom ID 35, Charge -0.03209639368299122
Atom ID 36, Charge -0.023563440481599862
Atom ID 37, Charge -0.027791404352376148
Atom ID 38, Charge -0.028761583957509274
Atom ID 39, Charge -0.013121394376421236
Atom ID 40, Charge -0.027791367464176986
Atom ID 41, Charge -0.02436613552363376
Atom ID 42, Charge -0.023563527865378298
Atom ID 43, Charge -0.027791386286085462
Atom ID 44, Charge -0.02876152323017589
Atom ID 45, Charge -0.013121420329376576
Atom ID 46, Charge -0.027791387512760224
Atom ID 47, Charge -0.02436616506664091
Atom ID 48, Charge -0.024366157200827132
Atom ID 49, Charge -0.030290507257926258
Atom ID 50, Charge -0.013121458685908749
Atom ID 51, Charge -0.02876151847458175
Atom ID 52, Charge -0.0301918959119023
Atom ID 53, Charge -0.02356354277565842
Atom ID 54, Charge -0.024366141329945634
Atom ID 55, Charge -0.030290484316960686
Atom ID 56, Charge -0.013121410137975964
Atom ID 57, Charge -0.028761579028973472
Atom ID 58, Charge -0.030191849738652188
Atom ID 59, Charge -0.023563465707566955
Atom ID 60, Charge -0.02488664561887788
Atom ID 61, Charge -0.030191830536483444
Atom ID 62, Charge -0.03061860955987239
Atom ID 63, Charge -0.03061877367025012
Atom ID 64, Charge -0.030290499461221643
Atom ID 65, Charge -0.02488666400771855
Atom ID 66, Charge -0.024886660288389706
Atom ID 67, Charge -0.030191889543900174
Atom ID 68, Charge -0.030618723631712363
Atom ID 69, Charge -0.03061865833097599
Atom ID 70, Charge -0.030290516887790275
Atom ID 71, Charge -0.0248866376283976
Atom ID 72, Charge -0.02699349093494252
Atom ID 73, Charge 0.002322851702886375
Atom ID 74, Charge -0.03143270532907927
Atom ID 75, Charge -0.02791908825070788
Atom ID 76, Charge -0.013257083817235227
Atom ID 77, Charge -0.026169594057638967
Atom ID 78, Charge -0.026993491945848547
Atom ID 79, Charge 0.002322843635647942
Atom ID 80, Charge -0.03143249573341311
Atom ID 81, Charge -0.02791759819474926
Atom ID 82, Charge -0.013257131120392174
Atom ID 83, Charge -0.026169533366111608
Atom ID 84, Charge -0.014600061025857869
Atom ID 85, Charge -0.013257048420102002
Atom ID 86, Charge -0.034373943443060995
Atom ID 87, Charge -0.034371656690074026
Atom ID 88, Charge 0.0023228930351297805
Atom ID 89, Charge -0.014600167058479663
Atom ID 90, Charge -0.014600015345290096
Atom ID 91, Charge -0.01325698778334683
Atom ID 92, Charge -0.034372632799659186
Atom ID 93, Charge -0.03437277154956764
Atom ID 94, Charge 0.0023228925684133372
Atom ID 95, Charge -0.014600172992591531
Atom ID 96, Charge -0.026169246129212453
Atom ID 97, Charge -0.012771052830866658
Atom ID 98, Charge -0.027915767920247525
Atom ID 99, Charge -0.03143164451920111
Atom ID 100, Charge -0.012771006756812753
Atom ID 101, Charge -0.026993081164278898
Atom ID 102, Charge -0.026169281898265062
Atom ID 103, Charge -0.012771036052876994
Atom ID 104, Charge -0.02791713984461186
Atom ID 105, Charge -0.03143182919305865
Atom ID 106, Charge -0.012771007678800572
Atom ID 107, Charge -0.026993072291348952
Atom ID 108, Charge 0.03864864294853021
Atom ID 109, Charge 0.0386660608626741
Atom ID 110, Charge 0.24385347865181206
Atom ID 111, Charge 0.02001906986317792
Atom ID 112, Charge 0.02001259219338558
Atom ID 113, Charge 0.020019050814339412
Atom ID 114, Charge 0.020012612160361987
Atom ID 115, Charge 0.019925082451034748
Atom ID 116, Charge 0.019925063417977618
Atom ID 117, Charge 0.019925066224631638
Atom ID 118, Charge 0.019925073104027136
Atom ID 119, Charge 0.020012601961497123
Atom ID 120, Charge 0.020019051564345913
Atom ID 121, Charge 0.020012583638041148
Atom ID 122, Charge 0.020019068574833376
Atom ID 123, Charge 0.05639792235785279
Atom ID 124, Charge 0.05777135650848331
Atom ID 125, Charge 0.05639872059818274
Atom ID 126, Charge 0.057771015181075636
Atom ID 127, Charge 0.05391863286109855
Atom ID 128, Charge 0.05391885724605383
Atom ID 129, Charge 0.053918611715499054
Atom ID 130, Charge 0.05391960260815354
Atom ID 131, Charge 0.05777165955116126
Atom ID 132, Charge 0.05639982018508383
Atom ID 133, Charge 0.05777296097703677
Atom ID 134, Charge 0.05639883898200282
Atom ID 135, Charge 0.07757427910894421
Atom ID 136, Charge 0.06889652689344017
Atom ID 137, Charge 0.07768892927153626
Atom ID 138, Charge 0.06852158409295617
Atom ID 139, Charge 0.17977362431960575
Atom ID 140, Charge 0.17979763085709966
Atom ID 141, Charge 0.17939014820582333
Atom ID 142, Charge 0.17935184293953466
Atom ID 143, Charge 0.17939014104184192
Atom ID 144, Charge 0.17935186974678707
Atom ID 145, Charge 0.1751475648011258
Atom ID 146, Charge 0.17455120347989572
Atom ID 147, Charge 0.1751475607236057
Atom ID 148, Charge 0.17455119922163753
Atom ID 149, Charge 0.17397922199193427
Atom ID 150, Charge 0.17398772179843114
Atom ID 151, Charge 0.179964256387664
Atom ID 152, Charge 0.1794491793746511
Atom ID 153, Charge 0.16876141433191805
Atom ID 154, Charge 0.1799644349113727
Atom ID 155, Charge 0.17944932987182938
Atom ID 156, Charge 0.7207714119961066
Atom ID 157, Charge -0.2548209184215011
Atom ID 158, Charge -0.08473446849870925
Atom ID 159, Charge -0.08455796840256191
