Atom ID 0, Charge -0.05452203423697455
Atom ID 1, Charge -0.08621130212095629
Atom ID 2, Charge -0.020667227702865887
Atom ID 3, Charge -0.020667296922572298
Atom ID 4, Charge -0.08568264293872652
Atom ID 5, Charge -0.05452204289951457
Atom ID 6, Charge -0.05452203026765279
Atom ID 7, Charge -0.08621114553542686
Atom ID 8, Charge -0.02066729780518095
Atom ID 9, Charge -0.020667235362357594
Atom ID 10, Charge -0.08568265794697538
Atom ID 11, Charge -0.0545220405269875
Atom ID 12, Charge -0.053341859723726515
Atom ID 13, Charge -0.08618958875615323
Atom ID 14, Charge -0.019890388268112957
Atom ID 15, Charge -0.021958987972870325
Atom ID 16, Charge -0.08618975030526244
Atom ID 17, Charge -0.0546228219503444
Atom ID 18, Charge -0.053341828163025795
Atom ID 19, Charge -0.08618973222190984
Atom ID 20, Charge -0.019890313493156064
Atom ID 21, Charge -0.02195899428974979
Atom ID 22, Charge -0.08618958589633241
Atom ID 23, Charge -0.05462278708438095
Atom ID 24, Charge -0.05462279823613958
Atom ID 25, Charge -0.0856826606569312
Atom ID 26, Charge -0.021958992786408338
Atom ID 27, Charge -0.019890307596349466
Atom ID 28, Charge -0.08621115365045906
Atom ID 29, Charge -0.053341836680313115
Atom ID 30, Charge -0.05462282310166966
Atom ID 31, Charge -0.08568266303020344
Atom ID 32, Charge -0.021958985376455686
Atom ID 33, Charge -0.01989038693395262
Atom ID 34, Charge -0.0862112976156304
Atom ID 35, Charge -0.05334185230475441
Atom ID 36, Charge -0.020450911114429537
Atom ID 37, Charge -0.02857350805634784
Atom ID 38, Charge -0.026705777699468136
Atom ID 39, Charge -0.015503329859079429
Atom ID 40, Charge -0.028573473967849594
Atom ID 41, Charge -0.02131654707656505
Atom ID 42, Charge -0.02045096697426274
Atom ID 43, Charge -0.028573477942523517
Atom ID 44, Charge -0.026705767735166752
Atom ID 45, Charge -0.015503406398207353
Atom ID 46, Charge -0.02857349966543854
Atom ID 47, Charge -0.02131659832016286
Atom ID 48, Charge -0.021316600665750585
Atom ID 49, Charge -0.030074973838410735
Atom ID 50, Charge -0.015503416029153172
Atom ID 51, Charge -0.026705746129909613
Atom ID 52, Charge -0.030228141594449198
Atom ID 53, Charge -0.020450967277570342
Atom ID 54, Charge -0.0213165451782249
Atom ID 55, Charge -0.030075026242833758
Atom ID 56, Charge -0.015503343355896426
Atom ID 57, Charge -0.026705757504633887
Atom ID 58, Charge -0.030228164846395345
Atom ID 59, Charge -0.020450904875851883
Atom ID 60, Charge -0.021358574103708783
Atom ID 61, Charge -0.030228165375510763
Atom ID 62, Charge -0.030123152191311675
Atom ID 63, Charge -0.03012328869007419
Atom ID 64, Charge -0.030075030519995494
Atom ID 65, Charge -0.02135857168545563
Atom ID 66, Charge -0.02135856715913409
Atom ID 67, Charge -0.030228136407196793
Atom ID 68, Charge -0.030123255151705663
Atom ID 69, Charge -0.030123186079082487
Atom ID 70, Charge -0.030074979406763624
Atom ID 71, Charge -0.021358574183476975
Atom ID 72, Charge -0.03623224234753142
Atom ID 73, Charge 0.0029815188898894007
Atom ID 74, Charge -0.04836238312593277
Atom ID 75, Charge -0.04238730658376255
Atom ID 76, Charge -0.014529529223241688
Atom ID 77, Charge -0.03448092683397608
Atom ID 78, Charge -0.03623214436160982
Atom ID 79, Charge 0.0029815774948236395
Atom ID 80, Charge -0.048362168009570716
Atom ID 81, Charge -0.042386183539811384
Atom ID 82, Charge -0.014529541122866974
Atom ID 83, Charge -0.034480869270660186
Atom ID 84, Charge -0.038349480783474554
Atom ID 85, Charge -0.014529524867096022
Atom ID 86, Charge -0.06474116853964151
Atom ID 87, Charge -0.06474057947385337
Atom ID 88, Charge 0.0029815872063441162
Atom ID 89, Charge -0.03834952203935682
Atom ID 90, Charge -0.03834953358854154
Atom ID 91, Charge -0.014529513119558857
Atom ID 92, Charge -0.06474068746744965
Atom ID 93, Charge -0.0647410136043387
Atom ID 94, Charge 0.002981532620808025
Atom ID 95, Charge -0.03834946548461016
Atom ID 96, Charge -0.034480841387036776
Atom ID 97, Charge -0.013371246963128414
Atom ID 98, Charge -0.042385862815265796
Atom ID 99, Charge -0.04836202719202998
Atom ID 100, Charge -0.013371264745416056
Atom ID 101, Charge -0.036232101367440706
Atom ID 102, Charge -0.034480894718973865
Atom ID 103, Charge -0.01337127087165868
Atom ID 104, Charge -0.04238696486624782
Atom ID 105, Charge -0.04836223454037558
Atom ID 106, Charge -0.013371237293970495
Atom ID 107, Charge -0.03623219157009583
Atom ID 108, Charge 0.0417167873314046
Atom ID 109, Charge 0.042026579344556225
Atom ID 110, Charge 0.23456792019508477
Atom ID 111, Charge 0.030653078045554727
Atom ID 112, Charge 0.030775567693272055
Atom ID 113, Charge 0.030653200547460457
Atom ID 114, Charge 0.03077557997694591
Atom ID 115, Charge 0.030743082303321012
Atom ID 116, Charge 0.030743048197834244
Atom ID 117, Charge 0.030743060206232742
Atom ID 118, Charge 0.030743092607731004
Atom ID 119, Charge 0.030775579190913005
Atom ID 120, Charge 0.030653188518393715
Atom ID 121, Charge 0.03077556457706454
Atom ID 122, Charge 0.03065307885942603
Atom ID 123, Charge 0.044484480740211274
Atom ID 124, Charge 0.04611296728377001
Atom ID 125, Charge 0.044485426010705154
Atom ID 126, Charge 0.04610603656927059
Atom ID 127, Charge 0.05042285813132963
Atom ID 128, Charge 0.050402088797153466
Atom ID 129, Charge 0.05040109673352777
Atom ID 130, Charge 0.05042299886618107
Atom ID 131, Charge 0.046105454061388884
Atom ID 132, Charge 0.04448555992917247
Atom ID 133, Charge 0.046113311925953804
Atom ID 134, Charge 0.04448453946875652
Atom ID 135, Charge 0.07966720960591989
Atom ID 136, Charge 0.07016436350530342
Atom ID 137, Charge 0.07989142130700722
Atom ID 138, Charge 0.07025660826786695
Atom ID 139, Charge 0.17624465034404935
Atom ID 140, Charge 0.17229578971947834
Atom ID 141, Charge 0.17568199991969813
Atom ID 142, Charge 0.17185051464493384
Atom ID 143, Charge 0.17568200821630153
Atom ID 144, Charge 0.17185050846544936
Atom ID 145, Charge 0.17490245126730875
Atom ID 146, Charge 0.17413025682818262
Atom ID 147, Charge 0.17490244789261578
Atom ID 148, Charge 0.17413026128664466
Atom ID 149, Charge 0.17375598282331062
Atom ID 150, Charge 0.1737684279740641
Atom ID 151, Charge 0.1779048206489211
Atom ID 152, Charge 0.1768961092608241
Atom ID 153, Charge 0.17414768868529684
Atom ID 154, Charge 0.1779048458198469
Atom ID 155, Charge 0.17689615055527463
Atom ID 156, Charge 0.21945306051725533
Atom ID 157, Charge -0.314153625668542
Atom ID 158, Charge -0.08093438854952595
Atom ID 159, Charge -0.08137441719941663
