Atom ID 0, Charge -0.05455086476158311
Atom ID 1, Charge -0.08641122578907012
Atom ID 2, Charge -0.02053409133816153
Atom ID 3, Charge -0.02051283847286456
Atom ID 4, Charge -0.08588254770348325
Atom ID 5, Charge -0.05452457917905562
Atom ID 6, Charge -0.05452253245196648
Atom ID 7, Charge -0.08644049673582632
Atom ID 8, Charge -0.02051270928685689
Atom ID 9, Charge -0.02053394410345355
Atom ID 10, Charge -0.08585292339694206
Atom ID 11, Charge -0.054550872078549695
Atom ID 12, Charge -0.05337309283244274
Atom ID 13, Charge -0.08635804615321785
Atom ID 14, Charge -0.019923922091385826
Atom ID 15, Charge -0.02212123182593917
Atom ID 16, Charge -0.08639016609371541
Atom ID 17, Charge -0.054459827582880926
Atom ID 18, Charge -0.05334914089905407
Atom ID 19, Charge -0.0863900572218359
Atom ID 20, Charge -0.01990596817357826
Atom ID 21, Charge -0.02213374352699482
Atom ID 22, Charge -0.08635793266350422
Atom ID 23, Charge -0.054487497374945626
Atom ID 24, Charge -0.054487451803830744
Atom ID 25, Charge -0.08585463451992759
Atom ID 26, Charge -0.02213428418597818
Atom ID 27, Charge -0.019906480430958773
Atom ID 28, Charge -0.0864412282990683
Atom ID 29, Charge -0.05334837566976525
Atom ID 30, Charge -0.05445958732059708
Atom ID 31, Charge -0.08588355698534578
Atom ID 32, Charge -0.022121274403916757
Atom ID 33, Charge -0.019924223725726442
Atom ID 34, Charge -0.08641167520298332
Atom ID 35, Charge -0.05337274851039986
Atom ID 36, Charge -0.020613271784684528
Atom ID 37, Charge -0.028488577585799923
Atom ID 38, Charge -0.026718664247573187
Atom ID 39, Charge -0.015364651258499507
Atom ID 40, Charge -0.02851997189879274
Atom ID 41, Charge -0.021453607137430275
Atom ID 42, Charge -0.020599699187633824
Atom ID 43, Charge -0.02851980148063582
Atom ID 44, Charge -0.02670870428828742
Atom ID 45, Charge -0.015368905898633933
Atom ID 46, Charge -0.028488591587743528
Atom ID 47, Charge -0.021463987127495088
Atom ID 48, Charge -0.02146392869178637
Atom ID 49, Charge -0.03000388423687461
Atom ID 50, Charge -0.015368377518528042
Atom ID 51, Charge -0.026709224073387716
Atom ID 52, Charge -0.030325787320522046
Atom ID 53, Charge -0.020599749432306247
Atom ID 54, Charge -0.02145370613801134
Atom ID 55, Charge -0.030029357897945808
Atom ID 56, Charge -0.015364142907237976
Atom ID 57, Charge -0.02671909065217104
Atom ID 58, Charge -0.030300021350186945
Atom ID 59, Charge -0.020613340398747404
Atom ID 60, Charge -0.021356654175725076
Atom ID 61, Charge -0.030300277837874035
Atom ID 62, Charge -0.029878435882888965
Atom ID 63, Charge -0.029863365987933044
Atom ID 64, Charge -0.03002900093022376
Atom ID 65, Charge -0.021342685132043293
Atom ID 66, Charge -0.02134281475124844
Atom ID 67, Charge -0.030325957045346463
Atom ID 68, Charge -0.029863767142935593
Atom ID 69, Charge -0.029877684880337263
Atom ID 70, Charge -0.03000350068624691
Atom ID 71, Charge -0.02135679978751792
Atom ID 72, Charge -0.03559800593235263
Atom ID 73, Charge 0.0030420524148517814
Atom ID 74, Charge -0.046259214108930635
Atom ID 75, Charge -0.040011893751029426
Atom ID 76, Charge -0.01449889103048374
Atom ID 77, Charge -0.03354824401426271
Atom ID 78, Charge -0.03559287445936565
Atom ID 79, Charge 0.003032036611115174
Atom ID 80, Charge -0.04625677435038256
Atom ID 81, Charge -0.04000939984942864
Atom ID 82, Charge -0.014479572139627805
Atom ID 83, Charge -0.03355892687870021
Atom ID 84, Charge -0.037639092893959614
Atom ID 85, Charge -0.014480815720048668
Atom ID 86, Charge -0.06277795381814144
Atom ID 87, Charge -0.06279736426223526
Atom ID 88, Charge 0.003033488993930078
Atom ID 89, Charge -0.03762700696315768
Atom ID 90, Charge -0.037632452106504566
Atom ID 91, Charge -0.014500046743747497
Atom ID 92, Charge -0.06278631823490954
Atom ID 93, Charge -0.06278808764435695
Atom ID 94, Charge 0.003043099816502526
Atom ID 95, Charge -0.037632362797321406
Atom ID 96, Charge -0.0335592168295058
Atom ID 97, Charge -0.012995888263728439
Atom ID 98, Charge -0.04000985396154544
Atom ID 99, Charge -0.0462583091437514
Atom ID 100, Charge -0.013015676777586194
Atom ID 101, Charge -0.035594459748577556
Atom ID 102, Charge -0.033548760064193495
Atom ID 103, Charge -0.013015837847596856
Atom ID 104, Charge -0.040012750859076185
Atom ID 105, Charge -0.04626079623325996
Atom ID 106, Charge -0.012995632583051808
Atom ID 107, Charge -0.03559946644670031
Atom ID 108, Charge 0.041874256795740195
Atom ID 109, Charge 0.042067635633839195
Atom ID 110, Charge 0.2343940783863081
Atom ID 111, Charge 0.030682299615243935
Atom ID 112, Charge 0.030801345774230326
Atom ID 113, Charge 0.030669746586496793
Atom ID 114, Charge 0.030801385134118786
Atom ID 115, Charge 0.030635194622157802
Atom ID 116, Charge 0.030634802529016292
Atom ID 117, Charge 0.030634593088224138
Atom ID 118, Charge 0.0306352594673156
Atom ID 119, Charge 0.03080164447035383
Atom ID 120, Charge 0.03066978374525542
Atom ID 121, Charge 0.030801753014365385
Atom ID 122, Charge 0.030682280504020776
Atom ID 123, Charge 0.04612455209657018
Atom ID 124, Charge 0.04802487713418413
Atom ID 125, Charge 0.04613076473360467
Atom ID 126, Charge 0.04801561275653199
Atom ID 127, Charge 0.05220430169780943
Atom ID 128, Charge 0.05218749627957209
Atom ID 129, Charge 0.052188795615038974
Atom ID 130, Charge 0.052204374523439956
Atom ID 131, Charge 0.04801497929774445
Atom ID 132, Charge 0.04612893144448693
Atom ID 133, Charge 0.04802355333955444
Atom ID 134, Charge 0.04612259612301106
