Atom ID 0, Charge -0.0660972346701465
Atom ID 1, Charge -0.016543282219103617
Atom ID 2, Charge -0.016543280833008822
Atom ID 3, Charge -0.024203905290685057
Atom ID 4, Charge -0.12141169733927892
Atom ID 5, Charge -0.12141167583021328
Atom ID 6, Charge -0.066097227715046
Atom ID 7, Charge -0.016543297714410876
Atom ID 8, Charge -0.01654327736390737
Atom ID 9, Charge -0.024203900500630482
Atom ID 10, Charge -0.12141179297755311
Atom ID 11, Charge -0.12141154334856097
Atom ID 12, Charge -0.01217331661384069
Atom ID 13, Charge -0.02603527397755734
Atom ID 14, Charge -0.026305017985170487
Atom ID 15, Charge -0.10334403685910143
Atom ID 16, Charge -0.0227007132830801
Atom ID 17, Charge -0.023813818043694646
Atom ID 18, Charge -0.012173313779104689
Atom ID 19, Charge -0.02603524276628022
Atom ID 20, Charge -0.02630500263176394
Atom ID 21, Charge -0.10334405966957938
Atom ID 22, Charge -0.02270071949687047
Atom ID 23, Charge -0.02381383986635477
Atom ID 24, Charge -0.012173321842395168
Atom ID 25, Charge -0.02630506014456202
Atom ID 26, Charge -0.026035310868021355
Atom ID 27, Charge -0.10334407772250565
Atom ID 28, Charge -0.023813824474019363
Atom ID 29, Charge -0.02270075876760913
Atom ID 30, Charge -0.01217332175791519
Atom ID 31, Charge -0.02630506890262474
Atom ID 32, Charge -0.026035331346419
Atom ID 33, Charge -0.10334403142966764
Atom ID 34, Charge -0.02381381173435404
Atom ID 35, Charge -0.02270076574034796
Atom ID 36, Charge -0.06521065518651525
Atom ID 37, Charge -0.017416686745669985
Atom ID 38, Charge -0.017416587761171165
Atom ID 39, Charge -0.025888660773297545
Atom ID 40, Charge -0.12138245856062202
Atom ID 41, Charge -0.12138227888227338
Atom ID 42, Charge -0.06521066333829939
Atom ID 43, Charge -0.017416680602853063
Atom ID 44, Charge -0.01741659611350954
Atom ID 45, Charge -0.025888662353067637
Atom ID 46, Charge -0.12138242868257798
Atom ID 47, Charge -0.12138231032229108
Atom ID 48, Charge -0.033368115838262824
Atom ID 49, Charge -0.025662449318512692
Atom ID 50, Charge -0.02566242685053499
Atom ID 51, Charge -0.017763679665230292
Atom ID 52, Charge -0.02697863227472652
Atom ID 53, Charge -0.026978724905193374
Atom ID 54, Charge -0.033368109936121826
Atom ID 55, Charge -0.025662452698301585
Atom ID 56, Charge -0.02566242587613843
Atom ID 57, Charge -0.017763681241026674
Atom ID 58, Charge -0.026978649394012955
Atom ID 59, Charge -0.02697870473074193
Atom ID 60, Charge -0.035696039455526574
Atom ID 61, Charge -0.02096412351402588
Atom ID 62, Charge -0.010581276051008892
Atom ID 63, Charge -0.02737331247639041
Atom ID 64, Charge -0.02971099520706577
Atom ID 65, Charge -0.02914511298993805
Atom ID 66, Charge -0.035695991472586286
Atom ID 67, Charge -0.020964111413351638
Atom ID 68, Charge -0.010581249156052408
Atom ID 69, Charge -0.027373338385592305
Atom ID 70, Charge -0.029710971145648024
Atom ID 71, Charge -0.029145056360348143
Atom ID 72, Charge -0.03569595371804901
Atom ID 73, Charge -0.01058113640543823
Atom ID 74, Charge -0.020964029807914564
Atom ID 75, Charge -0.02737333920249263
Atom ID 76, Charge -0.02914496628756158
Atom ID 77, Charge -0.029710923324361538
Atom ID 78, Charge -0.03569599846494853
Atom ID 79, Charge -0.010581166936133535
Atom ID 80, Charge -0.020964055030651352
Atom ID 81, Charge -0.027373320663262923
Atom ID 82, Charge -0.02914501531506275
Atom ID 83, Charge -0.029710939447872065
Atom ID 84, Charge -0.032113352795695604
Atom ID 85, Charge -0.02484247929152339
Atom ID 86, Charge -0.02484251542504623
Atom ID 87, Charge -0.0040220643057908845
Atom ID 88, Charge -0.02499346106291611
Atom ID 89, Charge -0.0249933802710256
Atom ID 90, Charge -0.03211334695035184
Atom ID 91, Charge -0.024842491879294215
Atom ID 92, Charge -0.024842511698317082
Atom ID 93, Charge -0.0040220642922310645
Atom ID 94, Charge -0.02499342681805139
Atom ID 95, Charge -0.024993405381809275
Atom ID 96, Charge -0.004070620966155403
Atom ID 97, Charge -0.012810028857579425
Atom ID 98, Charge -0.012809227521978883
Atom ID 99, Charge 0.0027677282591103136
Atom ID 100, Charge -0.0019524674789046514
Atom ID 101, Charge -0.001952443961902084
Atom ID 102, Charge -0.004070610315753065
Atom ID 103, Charge -0.012809990234443625
Atom ID 104, Charge -0.01280927397444831
Atom ID 105, Charge 0.0027676894476842406
Atom ID 106, Charge -0.0019524636221310843
Atom ID 107, Charge -0.0019524483697495043
Atom ID 108, Charge -0.08370935475378083
Atom ID 109, Charge -0.06034212438932762
Atom ID 110, Charge -0.04170271436284256
Atom ID 111, Charge 0.0005859867906989891
Atom ID 112, Charge -0.004377430064108623
Atom ID 113, Charge -0.009660691456795156
Atom ID 114, Charge -0.08371013236340463
Atom ID 115, Charge -0.06034267810911942
Atom ID 116, Charge -0.041702967391694656
Atom ID 117, Charge 0.0005859840483930512
Atom ID 118, Charge -0.004377615250956701
Atom ID 119, Charge -0.00966074612433232
Atom ID 120, Charge -0.08371530723085918
Atom ID 121, Charge -0.041706075131057396
Atom ID 122, Charge -0.06034519375532099
Atom ID 123, Charge 0.0005864989131083576
Atom ID 124, Charge -0.00966221897230568
Atom ID 125, Charge -0.004379371522417408
