Atom ID 0, Charge -0.02040170135778041
Atom ID 1, Charge -0.01624316171066731
Atom ID 2, Charge -0.016243170645735994
Atom ID 3, Charge -0.029672083042857622
Atom ID 4, Charge -0.12301306753988861
Atom ID 5, Charge -0.12301306699797365
Atom ID 6, Charge -0.02040170061190416
Atom ID 7, Charge -0.016243165526509173
Atom ID 8, Charge -0.01624316569866302
Atom ID 9, Charge -0.02967208249035025
Atom ID 10, Charge -0.12301307022452157
Atom ID 11, Charge -0.12301306236842979
Atom ID 12, Charge -0.021243677499991342
Atom ID 13, Charge -0.026444486025177127
Atom ID 14, Charge -0.026776322194056235
Atom ID 15, Charge -0.09967479136528734
Atom ID 16, Charge -0.0269217661127934
Atom ID 17, Charge -0.027318893974211278
Atom ID 18, Charge -0.0212436751003775
Atom ID 19, Charge -0.026444484426805914
Atom ID 20, Charge -0.026776321598307895
Atom ID 21, Charge -0.09967479985380923
Atom ID 22, Charge -0.02692176462699969
Atom ID 23, Charge -0.027318893720834403
Atom ID 24, Charge -0.02124367770161406
Atom ID 25, Charge -0.026776322333126323
Atom ID 26, Charge -0.02644448755065376
Atom ID 27, Charge -0.09967480687028285
Atom ID 28, Charge -0.02731889577005031
Atom ID 29, Charge -0.02692176494433074
Atom ID 30, Charge -0.021243679345738897
Atom ID 31, Charge -0.026776320282526633
Atom ID 32, Charge -0.026444484738832763
Atom ID 33, Charge -0.09967479740535712
Atom ID 34, Charge -0.02731889553866118
Atom ID 35, Charge -0.026921766132249836
Atom ID 36, Charge -0.020304258442299883
Atom ID 37, Charge -0.016075548497469505
Atom ID 38, Charge -0.016075540386160547
Atom ID 39, Charge -0.03020739466958844
Atom ID 40, Charge -0.12314593994826506
Atom ID 41, Charge -0.12314593338557689
Atom ID 42, Charge -0.020304257646463597
Atom ID 43, Charge -0.016075546235271965
Atom ID 44, Charge -0.01607554101507791
Atom ID 45, Charge -0.03020739404617423
Atom ID 46, Charge -0.12314592867435614
Atom ID 47, Charge -0.12314594081809904
Atom ID 48, Charge -0.030757433204669837
Atom ID 49, Charge -0.028207784721412388
Atom ID 50, Charge -0.028207763592389412
Atom ID 51, Charge -0.024239925134303952
Atom ID 52, Charge -0.02658039388336242
Atom ID 53, Charge -0.02658040920081639
Atom ID 54, Charge -0.030757432130072537
Atom ID 55, Charge -0.028207779966072266
Atom ID 56, Charge -0.028207766728195693
Atom ID 57, Charge -0.02423992462222202
Atom ID 58, Charge -0.026580395798535328
Atom ID 59, Charge -0.026580406361825126
Atom ID 60, Charge -0.030913451999459163
Atom ID 61, Charge -0.026289352889371287
Atom ID 62, Charge -0.012984721439443625
Atom ID 63, Charge -0.028908161594295656
Atom ID 64, Charge -0.028100179723673513
Atom ID 65, Charge -0.027064905057581967
Atom ID 66, Charge -0.030913412579233857
Atom ID 67, Charge -0.026289345284242316
Atom ID 68, Charge -0.012984705749776282
Atom ID 69, Charge -0.028908173767726808
Atom ID 70, Charge -0.02810016343910071
Atom ID 71, Charge -0.02706489080181651
Atom ID 72, Charge -0.0309133303940774
Atom ID 73, Charge -0.012984653253151457
Atom ID 74, Charge -0.026289299582023418
Atom ID 75, Charge -0.028908188238307098
Atom ID 76, Charge -0.027064867008317783
Atom ID 77, Charge -0.028100144876402666
Atom ID 78, Charge -0.03091337199491928
Atom ID 79, Charge -0.01298467216792698
Atom ID 80, Charge -0.026289314945450393
Atom ID 81, Charge -0.028908174932167796
Atom ID 82, Charge -0.027064878084848587
Atom ID 83, Charge -0.028100158390410357
Atom ID 84, Charge -0.029717429812619933
Atom ID 85, Charge -0.027020444687027023
Atom ID 86, Charge -0.027020476060927834
Atom ID 87, Charge -0.008647671805425361
