Atom ID 0, Charge -0.02016065681740109
Atom ID 1, Charge -0.016235907366628055
Atom ID 2, Charge -0.016235913869572016
Atom ID 3, Charge -0.030046359865199435
Atom ID 4, Charge -0.1231343901022326
Atom ID 5, Charge -0.12313439688083161
Atom ID 6, Charge -0.02016065586423199
Atom ID 7, Charge -0.016235910940954668
Atom ID 8, Charge -0.0162359100023437
Atom ID 9, Charge -0.03004635955304913
Atom ID 10, Charge -0.12313439862766185
Atom ID 11, Charge -0.12313438720649295
Atom ID 12, Charge -0.02180285696789319
Atom ID 13, Charge -0.026413317239007306
Atom ID 14, Charge -0.026410861275289577
Atom ID 15, Charge -0.10096988694178854
Atom ID 16, Charge -0.026844827234919322
Atom ID 17, Charge -0.026845246029540526
Atom ID 18, Charge -0.02180285904130219
Atom ID 19, Charge -0.026413314663641607
Atom ID 20, Charge -0.026410863921826788
Atom ID 21, Charge -0.10096989930173805
Atom ID 22, Charge -0.026844825362363878
Atom ID 23, Charge -0.026845242900804145
Atom ID 24, Charge -0.021802859007941322
Atom ID 25, Charge -0.026410865057214572
Atom ID 26, Charge -0.026413315770809298
Atom ID 27, Charge -0.10096990020328622
Atom ID 28, Charge -0.026845244160193182
Atom ID 29, Charge -0.026844826213291206
Atom ID 30, Charge -0.02180285603576948
Atom ID 31, Charge -0.02641085981414637
Atom ID 32, Charge -0.026413315897203304
Atom ID 33, Charge -0.10096988706710519
Atom ID 34, Charge -0.026845246516055354
Atom ID 35, Charge -0.02684482813136313
Atom ID 36, Charge -0.020158819484062285
Atom ID 37, Charge -0.01623746389772407
Atom ID 38, Charge -0.016237459555672906
Atom ID 39, Charge -0.030046821171833216
Atom ID 40, Charge -0.12313472967855077
Atom ID 41, Charge -0.12313471381271857
Atom ID 42, Charge -0.020158819296804964
Atom ID 43, Charge -0.016237461393460606
Atom ID 44, Charge -0.01623746076979682
Atom ID 45, Charge -0.03004682070647746
Atom ID 46, Charge -0.12313471027456302
Atom ID 47, Charge -0.12313473122205032
Atom ID 48, Charge -0.031019614381994742
Atom ID 49, Charge -0.028564574428224354
Atom ID 50, Charge -0.028564552135626364
Atom ID 51, Charge -0.02479431249761266
Atom ID 52, Charge -0.026328428971069684
Atom ID 53, Charge -0.026328438776583418
Atom ID 54, Charge -0.031019614045558086
Atom ID 55, Charge -0.028564562213531985
Atom ID 56, Charge -0.02856456290728726
Atom ID 57, Charge -0.024794312024205567
Atom ID 58, Charge -0.026328433641370275
Atom ID 59, Charge -0.026328433837181642
Atom ID 60, Charge -0.03181590235556708
