Atom ID 0, Charge -0.06516335467932954
Atom ID 1, Charge -0.017072468886501824
Atom ID 2, Charge -0.01707260888551243
Atom ID 3, Charge -0.025581253967027706
Atom ID 4, Charge -0.12148954702272263
Atom ID 5, Charge -0.12148939628397848
Atom ID 6, Charge -0.065163364927459
Atom ID 7, Charge -0.01707260822701606
Atom ID 8, Charge -0.017072491045359683
Atom ID 9, Charge -0.025581263667282528
Atom ID 10, Charge -0.12148939008746673
Atom ID 11, Charge -0.12148954373115561
Atom ID 12, Charge -0.013585558484658478
Atom ID 13, Charge -0.026110777552801778
Atom ID 14, Charge -0.026106728337845553
Atom ID 15, Charge -0.10436013076747486
Atom ID 16, Charge -0.02305986246231395
Atom ID 17, Charge -0.023062701312025702
Atom ID 18, Charge -0.0135854478784605
Atom ID 19, Charge -0.026110907389076843
Atom ID 20, Charge -0.02610678307037606
Atom ID 21, Charge -0.10436021988443489
Atom ID 22, Charge -0.023059852720319185
Atom ID 23, Charge -0.023062643159020624
Atom ID 24, Charge -0.013585430174680724
Atom ID 25, Charge -0.02610684880084424
Atom ID 26, Charge -0.026110909287348605
Atom ID 27, Charge -0.10436023502826242
Atom ID 28, Charge -0.0230626463390049
Atom ID 29, Charge -0.02305985386761389
Atom ID 30, Charge -0.013585518251434614
Atom ID 31, Charge -0.02610668102399316
Atom ID 32, Charge -0.026110846375932972
Atom ID 33, Charge -0.10436013590759519
Atom ID 34, Charge -0.02306267737222356
Atom ID 35, Charge -0.023059860226116946
Atom ID 36, Charge -0.06516148726493398
Atom ID 37, Charge -0.017074536318814282
Atom ID 38, Charge -0.017074527437371145
Atom ID 39, Charge -0.02558639166660548
Atom ID 40, Charge -0.12148888397052637
Atom ID 41, Charge -0.12148902771929482
Atom ID 42, Charge -0.06516143219558046
Atom ID 43, Charge -0.01707449362376323
Atom ID 44, Charge -0.01707452220258343
Atom ID 45, Charge -0.02558638373412947
Atom ID 46, Charge -0.12148893125771743
Atom ID 47, Charge -0.12148886360187028
Atom ID 48, Charge -0.03333177805721377
Atom ID 49, Charge -0.026138053427633423
Atom ID 50, Charge -0.026137931888161603
Atom ID 51, Charge -0.01884853912525397
Atom ID 52, Charge -0.026259994448280644
Atom ID 53, Charge -0.026259939953223288
Atom ID 54, Charge -0.0333317445664818
Atom ID 55, Charge -0.026137951932180492
Atom ID 56, Charge -0.02613795513511441
Atom ID 57, Charge -0.018848505681049232
Atom ID 58, Charge -0.026259879522442908
Atom ID 59, Charge -0.026259977254475153
Atom ID 60, Charge -0.036965711844993976
Atom ID 61, Charge -0.022783701751088792
Atom ID 62, Charge -0.02277548172994681
Atom ID 63, Charge -0.02647864278434664
Atom ID 64, Charge -0.031095091462484348
Atom ID 65, Charge -0.0310847371735683
Atom ID 66, Charge -0.036965339912792494
Atom ID 67, Charge -0.02278370892546633
Atom ID 68, Charge -0.022775604617042866
Atom ID 69, Charge -0.02647862016400193
Atom ID 70, Charge -0.031095236046766672
Atom ID 71, Charge -0.031084646479425437
Atom ID 72, Charge -0.036965103265306
Atom ID 73, Charge -0.022775561605428152
Atom ID 74, Charge -0.022783819279413642
Atom ID 75, Charge -0.026478632999667795
Atom ID 76, Charge -0.031084634803375977
Atom ID 77, Charge -0.031095252582449717
Atom ID 78, Charge -0.03696553477483988
Atom ID 79, Charge -0.022775475282911017
Atom ID 80, Charge -0.022783598583370868
Atom ID 81, Charge -0.026478658644947473
Atom ID 82, Charge -0.031084643128842515
Atom ID 83, Charge -0.03109512113830526
Atom ID 84, Charge -0.03332437290184487
Atom ID 85, Charge -0.026139513082021892
Atom ID 86, Charge -0.026139640583606294
Atom ID 87, Charge -0.018834497848488674
Atom ID 88, Charge -0.026264494912382474
Atom ID 89, Charge -0.026264286222644984
Atom ID 90, Charge -0.0333243573034494
Atom ID 91, Charge -0.026139619322829155
Atom ID 92, Charge -0.02613954213369052
Atom ID 93, Charge -0.018834483348038944
Atom ID 94, Charge -0.026264371121230923
Atom ID 95, Charge -0.026264405355148845
Atom ID 96, Charge -0.02631604483460226
Atom ID 97, Charge -0.014910050907269934
