Atom ID 0, Charge -0.020669827484378622
Atom ID 1, Charge -0.01629472380861241
Atom ID 2, Charge -0.016294885433360662
Atom ID 3, Charge -0.02964434836076002
Atom ID 4, Charge -0.12290212608470785
Atom ID 5, Charge -0.1229020823102438
Atom ID 6, Charge -0.020669839638168597
Atom ID 7, Charge -0.016294879979795063
Atom ID 8, Charge -0.01629472244780583
Atom ID 9, Charge -0.029644340791060486
Atom ID 10, Charge -0.12290208375822687
Atom ID 11, Charge -0.12290212833566372
Atom ID 12, Charge -0.022088025575486725
Atom ID 13, Charge -0.026137382434709977
Atom ID 14, Charge -0.026354500754166565
Atom ID 15, Charge -0.10173378936606348
Atom ID 16, Charge -0.027016203069778477
Atom ID 17, Charge -0.02726205856565933
Atom ID 18, Charge -0.022087653551782438
Atom ID 19, Charge -0.026137547886825985
Atom ID 20, Charge -0.02635457080697634
Atom ID 21, Charge -0.10173418558874481
Atom ID 22, Charge -0.027015810198204093
Atom ID 23, Charge -0.027261940070322233
Atom ID 24, Charge -0.022087659913063717
Atom ID 25, Charge -0.026354568488986096
Atom ID 26, Charge -0.026137543799272578
Atom ID 27, Charge -0.10173419379511994
Atom ID 28, Charge -0.027261944436812513
Atom ID 29, Charge -0.02701581372396955
Atom ID 30, Charge -0.022088033080450487
Atom ID 31, Charge -0.026354490848333967
Atom ID 32, Charge -0.026137379944282557
Atom ID 33, Charge -0.10173378739175654
Atom ID 34, Charge -0.02726205351561184
Atom ID 35, Charge -0.027016202714357007
Atom ID 36, Charge -0.020064464626726064
Atom ID 37, Charge -0.016584743406061975
Atom ID 38, Charge -0.01658457998000884
Atom ID 39, Charge -0.03032046165676583
Atom ID 40, Charge -0.12291943003655348
Atom ID 41, Charge -0.12291947052881724
Atom ID 42, Charge -0.020064408692830327
Atom ID 43, Charge -0.01658458231650428
Atom ID 44, Charge -0.01658474130342036
Atom ID 45, Charge -0.030320481654579012
Atom ID 46, Charge -0.12291942960831914
Atom ID 47, Charge -0.12291939104781413
Atom ID 48, Charge -0.030895972927174498
Atom ID 49, Charge -0.028417294829851336
Atom ID 50, Charge -0.02841731977479256
Atom ID 51, Charge -0.0268258165055002
Atom ID 52, Charge -0.027331213443403612
Atom ID 53, Charge -0.027331315459412586
Atom ID 54, Charge -0.030896000479591734
Atom ID 55, Charge -0.02841731644373713
Atom ID 56, Charge -0.028417297417904663
Atom ID 57, Charge -0.02682579942239549
Atom ID 58, Charge -0.027331322013009363
Atom ID 59, Charge -0.027331217166020494
Atom ID 60, Charge -0.029711561711832424
Atom ID 61, Charge -0.02595751878327146
Atom ID 62, Charge -0.01087063728591886
Atom ID 63, Charge -0.029531986720690462
Atom ID 64, Charge -0.029421451333001336
Atom ID 65, Charge -0.027825638196175895
Atom ID 66, Charge -0.02971192441233317
Atom ID 67, Charge -0.02595736899315426
Atom ID 68, Charge -0.010871228016014811
Atom ID 69, Charge -0.029531531886373585
Atom ID 70, Charge -0.029421411740737646
Atom ID 71, Charge -0.027826355394600988
Atom ID 72, Charge -0.02971193116337023
Atom ID 73, Charge -0.010871250910912345
Atom ID 74, Charge -0.025957365287404777
Atom ID 75, Charge -0.029531516925193735
Atom ID 76, Charge -0.027826365222214378
Atom ID 77, Charge -0.029421417206902056
Atom ID 78, Charge -0.029711590827195877
Atom ID 79, Charge -0.0108706437307875
Atom ID 80, Charge -0.025957539612570635
Atom ID 81, Charge -0.029531984362651365
Atom ID 82, Charge -0.02782564217492567
Atom ID 83, Charge -0.029421466095676863
Atom ID 84, Charge -0.029748796744376804
Atom ID 85, Charge -0.02672660741120314
Atom ID 86, Charge -0.026726921013634275
Atom ID 87, Charge -0.00823656330953515
Atom ID 88, Charge -0.02430191227555767
Atom ID 89, Charge -0.02430248416014713
Atom ID 90, Charge -0.02974877980085644
Atom ID 91, Charge -0.02672691957240403
Atom ID 92, Charge -0.026726596271648084
Atom ID 93, Charge -0.008236559459619208
Atom ID 94, Charge -0.024302471046488527
Atom ID 95, Charge -0.024301902794683805
Atom ID 96, Charge -0.009153051142709145
Atom ID 97, Charge -0.025208289515904703
Atom ID 98, Charge -0.025208885988975638
Atom ID 99, Charge -0.005366986695202414
Atom ID 100, Charge -0.0015575986598923564
Atom ID 101, Charge -0.0015584037033926634
Atom ID 102, Charge -0.009153029722969386
Atom ID 103, Charge -0.025208845641607525
Atom ID 104, Charge -0.025208319042502758
Atom ID 105, Charge -0.00536704293364032
Atom ID 106, Charge -0.001558373983248984
Atom ID 107, Charge -0.0015575958475224638
Atom ID 108, Charge -0.11747051117490148
Atom ID 109, Charge -0.10924587698156696
Atom ID 110, Charge -0.10992257040606201
Atom ID 111, Charge -0.016339022186949492
Atom ID 112, Charge -0.024928380283645524
Atom ID 113, Charge -0.024847814757070097
Atom ID 114, Charge -0.1174773316372919
Atom ID 115, Charge -0.10925729012078644
Atom ID 116, Charge -0.10992328588135702
Atom ID 117, Charge -0.016339821085367134
Atom ID 118, Charge -0.024928241864558665
Atom ID 119, Charge -0.024847806066929934
Atom ID 120, Charge -0.1174777463252008
Atom ID 121, Charge -0.10992315136202979
Atom ID 122, Charge -0.10925749290905529
Atom ID 123, Charge -0.016339864213204436
Atom ID 124, Charge -0.024847690102610898
Atom ID 125, Charge -0.024928152068960152
Atom ID 126, Charge -0.11747108603487266
Atom ID 127, Charge -0.10992244201943002
Atom ID 128, Charge -0.10924729802790889
Atom ID 129, Charge -0.0163390135754522
Atom ID 130, Charge -0.024847693286178973
Atom ID 131, Charge -0.024928332117303498
Atom ID 132, Charge -0.026950598861428254
Atom ID 133, Charge -0.026409839846204264
Atom ID 134, Charge -0.02640973566260918
Atom ID 135, Charge -0.004012893972769049
Atom ID 136, Charge -0.01754205414247867
Atom ID 137, Charge -0.01754210880667806
Atom ID 138, Charge -0.026950597610104765
Atom ID 139, Charge -0.02640976483908375
Atom ID 140, Charge -0.026409792884182437
Atom ID 141, Charge -0.00401291223066913
Atom ID 142, Charge -0.017542125948888376
Atom ID 143, Charge -0.017542048743647065
Atom ID 144, Charge 0.04031182742482109
Atom ID 145, Charge 0.04032926302405393
Atom ID 146, Charge 0.278144876196456
Atom ID 147, Charge 0.010965804614733177
Atom ID 148, Charge 0.010965776122714876
Atom ID 149, Charge 0.01096576852158282
Atom ID 150, Charge 0.01096581141560038
Atom ID 151, Charge 0.02561806854904336
Atom ID 152, Charge 0.02561785367455749
Atom ID 153, Charge 0.025617847369871716
Atom ID 154, Charge 0.02561806680525458
Atom ID 155, Charge 0.010945901846457717
Atom ID 156, Charge 0.01094592631633362
Atom ID 157, Charge 0.01094594232742152
Atom ID 158, Charge 0.01094592131907024
Atom ID 159, Charge 0.0219359570850739
Atom ID 160, Charge -0.003628338920963925
Atom ID 161, Charge 0.014985124181979503
Atom ID 162, Charge 0.0218685318721763
Atom ID 163, Charge -0.0037368499027770063
Atom ID 164, Charge 0.014975244681750266
Atom ID 165, Charge 0.021854071498353056
Atom ID 166, Charge 0.014973043631284821
Atom ID 167, Charge -0.003740861677187457
