Atom ID 0, Charge -0.020883048210255772
Atom ID 1, Charge -0.016557446966960043
Atom ID 2, Charge -0.016557504376804033
Atom ID 3, Charge -0.02971965959067724
Atom ID 4, Charge -0.12320361228218157
Atom ID 5, Charge -0.12320358734457049
Atom ID 6, Charge -0.020882929130097594
Atom ID 7, Charge -0.016557536106876825
Atom ID 8, Charge -0.01655754315854363
Atom ID 9, Charge -0.029719925215871967
Atom ID 10, Charge -0.12320359236034584
Atom ID 11, Charge -0.12320359795998748
Atom ID 12, Charge -0.02099168501935722
Atom ID 13, Charge -0.026402027458634514
Atom ID 14, Charge -0.026647403094388622
Atom ID 15, Charge -0.10085302923028117
Atom ID 16, Charge -0.026949283742381702
Atom ID 17, Charge -0.027460026548215666
Atom ID 18, Charge -0.020991566175093013
Atom ID 19, Charge -0.026402113232092184
Atom ID 20, Charge -0.026647662644172065
Atom ID 21, Charge -0.10085306294116769
Atom ID 22, Charge -0.026949191646131077
Atom ID 23, Charge -0.027459954833464195
Atom ID 24, Charge -0.020991596360238063
Atom ID 25, Charge -0.026647598480276535
Atom ID 26, Charge -0.02640197180255388
Atom ID 27, Charge -0.10085312446665995
Atom ID 28, Charge -0.02745998899495561
Atom ID 29, Charge -0.02694926129737585
Atom ID 30, Charge -0.020991661051622756
Atom ID 31, Charge -0.026647508299893374
Atom ID 32, Charge -0.026402116335240144
Atom ID 33, Charge -0.10085312850645423
Atom ID 34, Charge -0.027459973570960194
Atom ID 35, Charge -0.02694920679016999
Atom ID 36, Charge -0.020269151306510302
Atom ID 37, Charge -0.01644639537891912
Atom ID 38, Charge -0.016446367310996024
Atom ID 39, Charge -0.03052103375717774
Atom ID 40, Charge -0.12324467211856405
Atom ID 41, Charge -0.1232445114394034
Atom ID 42, Charge -0.020268856468384833
Atom ID 43, Charge -0.016446401645445086
Atom ID 44, Charge -0.01644636974403202
Atom ID 45, Charge -0.03052125897993463
Atom ID 46, Charge -0.1232444092920364
Atom ID 47, Charge -0.12324453118850709
Atom ID 48, Charge -0.0315733861766585
Atom ID 49, Charge -0.028910422854165674
Atom ID 50, Charge -0.02891047643744038
Atom ID 51, Charge -0.025397807765775937
Atom ID 52, Charge -0.027004394481842553
Atom ID 53, Charge -0.027004333452304685
Atom ID 54, Charge -0.03157334429840297
Atom ID 55, Charge -0.02891048632534421
Atom ID 56, Charge -0.02891045455188923
Atom ID 57, Charge -0.025397777834670343
Atom ID 58, Charge -0.027004285600355615
Atom ID 59, Charge -0.02700438117134496
Atom ID 60, Charge -0.030194962224376454
Atom ID 61, Charge -0.02482931948650524
Atom ID 62, Charge -0.012255696131365568
Atom ID 63, Charge -0.029427268986834676
Atom ID 64, Charge -0.02917696230708433
Atom ID 65, Charge -0.027958193001650145
Atom ID 66, Charge -0.0301949657377083
Atom ID 67, Charge -0.024829265928010713
Atom ID 68, Charge -0.01225565720455446
Atom ID 69, Charge -0.02942757925620665
Atom ID 70, Charge -0.029176931642138193
Atom ID 71, Charge -0.02795819906324226
Atom ID 72, Charge -0.030194912032764698
Atom ID 73, Charge -0.01225565229564296
Atom ID 74, Charge -0.024829196436419565
Atom ID 75, Charge -0.029427467036811983
Atom ID 76, Charge -0.02795818129961347
Atom ID 77, Charge -0.029176882265298687
Atom ID 78, Charge -0.03019487732112669
Atom ID 79, Charge -0.012255644257798792
Atom ID 80, Charge -0.024829305925424983
Atom ID 81, Charge -0.029427413767484367
Atom ID 82, Charge -0.027958113117581007
Atom ID 83, Charge -0.029176915616025312
Atom ID 84, Charge -0.02945148515561513
Atom ID 85, Charge -0.026799405573374457
Atom ID 86, Charge -0.026799416805412868
Atom ID 87, Charge -0.00769987055582444
Atom ID 88, Charge -0.024332883118900916
Atom ID 89, Charge -0.024332834744785536
Atom ID 90, Charge -0.029451243027018847
Atom ID 91, Charge -0.026799408141689796
Atom ID 92, Charge -0.026799498013098777
