Atom ID 0, Charge -0.020941815994550694
Atom ID 1, Charge -0.016689623933952902
Atom ID 2, Charge -0.01668966394053495
Atom ID 3, Charge -0.02971671007222909
Atom ID 4, Charge -0.12322318823534673
Atom ID 5, Charge -0.12322318956354561
Atom ID 6, Charge -0.020941823382166547
Atom ID 7, Charge -0.016689654728033965
Atom ID 8, Charge -0.016689638470327672
Atom ID 9, Charge -0.029716704247105596
Atom ID 10, Charge -0.12322319416882888
Atom ID 11, Charge -0.12322316372828457
Atom ID 12, Charge -0.02080497132568393
Atom ID 13, Charge -0.026622899808258715
Atom ID 14, Charge -0.026645338607982794
Atom ID 15, Charge -0.10081834425486846
Atom ID 16, Charge -0.02683354296667151
Atom ID 17, Charge -0.02747487858837694
Atom ID 18, Charge -0.020804958145932417
Atom ID 19, Charge -0.026622914348334525
Atom ID 20, Charge -0.02664531626862754
Atom ID 21, Charge -0.10081833701237297
Atom ID 22, Charge -0.026833577593857072
Atom ID 23, Charge -0.02747483013365315
Atom ID 24, Charge -0.02080496461003456
Atom ID 25, Charge -0.026645330730096894
Atom ID 26, Charge -0.026622942341182565
Atom ID 27, Charge -0.10081837026077523
Atom ID 28, Charge -0.0274748388256727
Atom ID 29, Charge -0.026833579386770445
Atom ID 30, Charge -0.020804941634992247
Atom ID 31, Charge -0.02664533872268038
Atom ID 32, Charge -0.026622896627156223
Atom ID 33, Charge -0.10081835599741673
Atom ID 34, Charge -0.027474880221500797
Atom ID 35, Charge -0.026833543644171343
Atom ID 36, Charge -0.020090805103563092
Atom ID 37, Charge -0.01671441220642933
Atom ID 38, Charge -0.016714382904750025
Atom ID 39, Charge -0.03062077337720659
Atom ID 40, Charge -0.12336942557982233
Atom ID 41, Charge -0.12336938783235585
Atom ID 42, Charge -0.02009080471521596
Atom ID 43, Charge -0.016714393870522315
Atom ID 44, Charge -0.016714414009219247
Atom ID 45, Charge -0.03062077246334649
Atom ID 46, Charge -0.12336938646353612
Atom ID 47, Charge -0.12336942809078533
Atom ID 48, Charge -0.031202878568564962
Atom ID 49, Charge -0.028506302794111704
Atom ID 50, Charge -0.028506280785620675
Atom ID 51, Charge -0.025480897768865418
Atom ID 52, Charge -0.02709333181712381
Atom ID 53, Charge -0.027093360312051118
Atom ID 54, Charge -0.031202877843233168
Atom ID 55, Charge -0.028506297356983623
Atom ID 56, Charge -0.02850629909410074
Atom ID 57, Charge -0.02548090511150569
Atom ID 58, Charge -0.02709334857411161
Atom ID 59, Charge -0.02709334628707527
Atom ID 60, Charge -0.030249403684929455
Atom ID 61, Charge -0.02555618801534898
Atom ID 62, Charge -0.011131451281885418
Atom ID 63, Charge -0.02950328044888728
Atom ID 64, Charge -0.02945516138468207
Atom ID 65, Charge -0.027591668192436636
Atom ID 66, Charge -0.030249389196167265
Atom ID 67, Charge -0.02555614159040509
Atom ID 68, Charge -0.011131407617829048
Atom ID 69, Charge -0.029503287271371192
Atom ID 70, Charge -0.02945513255473653
Atom ID 71, Charge -0.027591668744614495
Atom ID 72, Charge -0.03024933463477364
Atom ID 73, Charge -0.011131341774467174
Atom ID 74, Charge -0.02555611297867877
Atom ID 75, Charge -0.029503313342656767
Atom ID 76, Charge -0.02759162002412463
Atom ID 77, Charge -0.029455112272101402
Atom ID 78, Charge -0.03024935897859926
Atom ID 79, Charge -0.01113139304248012
Atom ID 80, Charge -0.025556151849294828
Atom ID 81, Charge -0.02950332715481796
Atom ID 82, Charge -0.02759163229794037
Atom ID 83, Charge -0.029455133691499213
Atom ID 84, Charge -0.029436202634211206
Atom ID 85, Charge -0.026846825016109577
Atom ID 86, Charge -0.026846861703683444
Atom ID 87, Charge -0.0071962986027429565
Atom ID 88, Charge -0.024370251042985736
Atom ID 89, Charge -0.024370222985970358
Atom ID 90, Charge -0.029436211689112035
Atom ID 91, Charge -0.02684683035682678
Atom ID 92, Charge -0.0268468568833633
Atom ID 93, Charge -0.007196290572267117
Atom ID 94, Charge -0.024370250572504304
Atom ID 95, Charge -0.024370239734590626
Atom ID 96, Charge -0.006638973883268839
Atom ID 97, Charge -0.02332668629011625
Atom ID 98, Charge -0.02332638371466178
Atom ID 99, Charge 0.0060853145978718715
Atom ID 100, Charge -0.00043601525187941803
Atom ID 101, Charge -0.0004359116818006825
Atom ID 102, Charge -0.006638996715603085
Atom ID 103, Charge -0.02332659022375072
Atom ID 104, Charge -0.023326472803456788
Atom ID 105, Charge 0.006085293299990191
Atom ID 106, Charge -0.0004359450535460496
Atom ID 107, Charge -0.0004359530145485735
Atom ID 108, Charge -0.0920675248289946
Atom ID 109, Charge -0.07547716491371581
Atom ID 110, Charge -0.08146747312798563
Atom ID 111, Charge -0.013694799987478135
Atom ID 112, Charge -0.01571050960400555
Atom ID 113, Charge -0.017225908617969132
Atom ID 114, Charge -0.09206854110543627
Atom ID 115, Charge -0.07547809219490187
Atom ID 116, Charge -0.08146776797675681
Atom ID 117, Charge -0.01369470711553955
Atom ID 118, Charge -0.015710799093345607
Atom ID 119, Charge -0.01722596120488884
Atom ID 120, Charge -0.09207100432704429
Atom ID 121, Charge -0.08146893191953541
Atom ID 122, Charge -0.0754797693865985
Atom ID 123, Charge -0.013694645560499374
Atom ID 124, Charge -0.01722661080240595
Atom ID 125, Charge -0.01571160350612466
Atom ID 126, Charge -0.09206995476395274
Atom ID 127, Charge -0.0814686041403423
Atom ID 128, Charge -0.07547873692348173
Atom ID 129, Charge -0.013694715784956735
Atom ID 130, Charge -0.017226564084249496
Atom ID 131, Charge -0.015711330367098597
Atom ID 132, Charge -0.022654462814653442
Atom ID 133, Charge -0.02417541797879519
Atom ID 134, Charge -0.024175521730191996
Atom ID 135, Charge 0.004475478679138334
Atom ID 136, Charge -0.015982599035363698
Atom ID 137, Charge -0.015982596567269525
