Atom ID 0, Charge -0.06673412484185626
Atom ID 1, Charge -0.016149304440481238
Atom ID 2, Charge -0.01614927898083174
Atom ID 3, Charge -0.024859804060348267
Atom ID 4, Charge -0.12156568624580011
Atom ID 5, Charge -0.12156574605671722
Atom ID 6, Charge -0.0667341366169989
Atom ID 7, Charge -0.016149265544382452
Atom ID 8, Charge -0.01614929230601536
Atom ID 9, Charge -0.024859814063461272
Atom ID 10, Charge -0.12156583583022584
Atom ID 11, Charge -0.12156564024045302
Atom ID 12, Charge -0.01113632189565017
Atom ID 13, Charge -0.02613556143435858
Atom ID 14, Charge -0.02633699418925506
Atom ID 15, Charge -0.10393630418320221
Atom ID 16, Charge -0.022247729401489558
Atom ID 17, Charge -0.023722174584249522
Atom ID 18, Charge -0.011136323091390565
Atom ID 19, Charge -0.026135503545151373
Atom ID 20, Charge -0.026336991329804604
Atom ID 21, Charge -0.10393652590173197
Atom ID 22, Charge -0.02224773474194297
Atom ID 23, Charge -0.0237221817655886
Atom ID 24, Charge -0.0111363024140676
Atom ID 25, Charge -0.026337042928131105
Atom ID 26, Charge -0.026135585137140538
Atom ID 27, Charge -0.10393650380991915
Atom ID 28, Charge -0.02372220451679219
Atom ID 29, Charge -0.022247745527324447
Atom ID 30, Charge -0.011136296821542935
Atom ID 31, Charge -0.026337045990652896
Atom ID 32, Charge -0.026135655120072876
Atom ID 33, Charge -0.10393631230806744
Atom ID 34, Charge -0.023722185714246002
Atom ID 35, Charge -0.02224772974854705
Atom ID 36, Charge -0.0658915063643466
Atom ID 37, Charge -0.01738328258692956
Atom ID 38, Charge -0.017383241089556023
Atom ID 39, Charge -0.026263726033844748
Atom ID 40, Charge -0.12160799298229374
Atom ID 41, Charge -0.12160803074851323
Atom ID 42, Charge -0.0658914920699436
Atom ID 43, Charge -0.017383247915431
Atom ID 44, Charge -0.017383278590461515
Atom ID 45, Charge -0.026263725049687103
Atom ID 46, Charge -0.12160799130888389
Atom ID 47, Charge -0.12160800697184371
Atom ID 48, Charge -0.033965861237935435
Atom ID 49, Charge -0.02622557917618984
Atom ID 50, Charge -0.026225536050250575
Atom ID 51, Charge -0.018251368477704588
Atom ID 52, Charge -0.02646360505478018
Atom ID 53, Charge -0.026463695287325173
Atom ID 54, Charge -0.033965847026331986
Atom ID 55, Charge -0.02622555307883978
Atom ID 56, Charge -0.0262255716947859
Atom ID 57, Charge -0.01825137310010838
Atom ID 58, Charge -0.02646364261885381
Atom ID 59, Charge -0.026463653861240388
Atom ID 60, Charge -0.035541969496311054
Atom ID 61, Charge -0.02060437896325773
Atom ID 62, Charge -0.010276285764346582
Atom ID 63, Charge -0.028352191236121982
Atom ID 64, Charge -0.030209715264816417
Atom ID 65, Charge -0.030015984579336852
Atom ID 66, Charge -0.03554189291356735
Atom ID 67, Charge -0.020604367514348354
Atom ID 68, Charge -0.010276250235903284
Atom ID 69, Charge -0.028352220884881874
Atom ID 70, Charge -0.030209683482565808
Atom ID 71, Charge -0.030015878427545495
Atom ID 72, Charge -0.03554188052342866
Atom ID 73, Charge -0.010276169574362726
Atom ID 74, Charge -0.02060430853594486
Atom ID 75, Charge -0.028352264651252845
Atom ID 76, Charge -0.030015788428105594
Atom ID 77, Charge -0.030209648204531092
Atom ID 78, Charge -0.03554194423889445
Atom ID 79, Charge -0.010276215162743796
Atom ID 80, Charge -0.020604336980813542
Atom ID 81, Charge -0.028352244455750686
Atom ID 82, Charge -0.03001587958071017
Atom ID 83, Charge -0.030209675665226143
Atom ID 84, Charge -0.032617011478228264
Atom ID 85, Charge -0.025099245384156532
Atom ID 86, Charge -0.025099274373839187
Atom ID 87, Charge -0.004890524722298117
Atom ID 88, Charge -0.0245003780756754
Atom ID 89, Charge -0.024500273817712248
Atom ID 90, Charge -0.03261701461966382
Atom ID 91, Charge -0.025099243469963284
Atom ID 92, Charge -0.02509928657971905
Atom ID 93, Charge -0.004890528777109715
Atom ID 94, Charge -0.024500335992276412
Atom ID 95, Charge -0.024500314624200215
Atom ID 96, Charge -0.006098914422323354
Atom ID 97, Charge -0.016351892123410927
Atom ID 98, Charge -0.01635110722994426
Atom ID 99, Charge -0.005013518261663741
Atom ID 100, Charge -0.0029414843028421345
Atom ID 101, Charge -0.00294145331505824
Atom ID 102, Charge -0.006098897580690377
Atom ID 103, Charge -0.01635187043443409
Atom ID 104, Charge -0.01635114638294599
Atom ID 105, Charge -0.005013542579903607
Atom ID 106, Charge -0.0029414827628979623
Atom ID 107, Charge -0.0029414524020090482
Atom ID 108, Charge -0.09841173159978656
Atom ID 109, Charge -0.0772762500950881
Atom ID 110, Charge -0.06472748169376619
Atom ID 111, Charge -0.002810887242439719
Atom ID 112, Charge -0.010091031566272335
Atom ID 113, Charge -0.015120567331394774
Atom ID 114, Charge -0.09841271147987385
Atom ID 115, Charge -0.07727685843779675
Atom ID 116, Charge -0.06472775708268053
Atom ID 117, Charge -0.002810897662997469
Atom ID 118, Charge -0.010091280662011037
Atom ID 119, Charge -0.015120597015042314
Atom ID 120, Charge -0.09841744352327986
Atom ID 121, Charge -0.06473054249789723
Atom ID 122, Charge -0.07727926324893808
Atom ID 123, Charge -0.002810304221824822
Atom ID 124, Charge -0.015121975388114883
Atom ID 125, Charge -0.01009295187758319
Atom ID 126, Charge -0.09841636052514868
Atom ID 127, Charge -0.06473024856498188
Atom ID 128, Charge -0.07727848308832641
Atom ID 129, Charge -0.002810309132984301
Atom ID 130, Charge -0.015121957855668278
Atom ID 131, Charge -0.010092650758440236
Atom ID 132, Charge -0.02843046180654163
Atom ID 133, Charge -0.01607559047299656
Atom ID 134, Charge -0.016076227299580914
Atom ID 135, Charge 0.010611208523420679
Atom ID 136, Charge -0.020412155349871064
Atom ID 137, Charge -0.020412264513182343
Atom ID 138, Charge -0.02843046024513285
Atom ID 139, Charge -0.01607557879604027
Atom ID 140, Charge -0.016076258332024196
Atom ID 141, Charge 0.010611195328792178
Atom ID 142, Charge -0.02041221771964974
Atom ID 143, Charge -0.02041219315614562
Atom ID 144, Charge 0.04447027797197922
Atom ID 145, Charge 0.04472112884958168
Atom ID 146, Charge 0.23346607154876065
Atom ID 147, Charge 0.029596535235118515
Atom ID 148, Charge 0.029596355333535662
Atom ID 149, Charge 0.029596307655675114
Atom ID 150, Charge 0.029596520312722974
Atom ID 151, Charge 0.03642903969665656
Atom ID 152, Charge 0.0364287827250418
Atom ID 153, Charge 0.036428842649741666
Atom ID 154, Charge 0.03642906136761104
Atom ID 155, Charge 0.029335586690430238
Atom ID 156, Charge 0.029335694773983123
Atom ID 157, Charge 0.029335685062951034
Atom ID 158, Charge 0.029335616798365383
Atom ID 159, Charge 0.0626391043747665
Atom ID 160, Charge 0.06107623582466726
Atom ID 161, Charge 0.04661192270045178
Atom ID 162, Charge 0.06264262034062029
Atom ID 163, Charge 0.061099396413111684
Atom ID 164, Charge 0.046611169482708825
Atom ID 165, Charge 0.0626377545004897
Atom ID 166, Charge 0.046608611655788446
Atom ID 167, Charge 0.061099088798144185
Atom ID 168, Charge 0.06263488504899895
Atom ID 169, Charge 0.04660945313205611
Atom ID 170, Charge 0.06107343633348583
Atom ID 171, Charge 0.077954739824033
Atom ID 172, Charge 0.0715349656924893
Atom ID 173, Charge 0.07761814826390412
Atom ID 174, Charge 0.07146251223754374
Atom ID 175, Charge 0.19987696484649398
Atom ID 176, Charge 0.19402742986586574
Atom ID 177, Charge 0.16654396528351523
Atom ID 178, Charge 0.1670440099931283
Atom ID 179, Charge 0.16654403169307486
Atom ID 180, Charge 0.16704395178666243
Atom ID 181, Charge 0.19963313984690156
Atom ID 182, Charge 0.1938963462520653
Atom ID 183, Charge 0.17244593422686183
Atom ID 184, Charge 0.17221390374586498
Atom ID 185, Charge 0.17358137283985453
Atom ID 186, Charge 0.17299237203897144
Atom ID 187, Charge 0.1735814254811605
Atom ID 188, Charge 0.17299242797859282
Atom ID 189, Charge 0.17413653211297575
Atom ID 190, Charge 0.1735486904596666
Atom ID 191, Charge 0.16932471476066668
Atom ID 192, Charge 0.1766176973644198
Atom ID 193, Charge 0.1767536861922352
Atom ID 194, Charge 0.176615471093164
Atom ID 195, Charge 0.17675172574911713
Atom ID 196, Charge 0.1766038167939019
Atom ID 197, Charge 0.17690424991453702
Atom ID 198, Charge 0.29951309743106735
Atom ID 199, Charge -0.3171130868023404
Atom ID 200, Charge -0.07917214830209574
Atom ID 201, Charge -0.0802376738420918
