Atom ID 0, Charge -0.06730196553787593
Atom ID 1, Charge -0.016068570369612623
Atom ID 2, Charge -0.016068614685464944
Atom ID 3, Charge -0.024409264951174237
Atom ID 4, Charge -0.12164632723671431
Atom ID 5, Charge -0.12164625514188732
Atom ID 6, Charge -0.0673019619654287
Atom ID 7, Charge -0.016068648632019844
Atom ID 8, Charge -0.016068567101284792
Atom ID 9, Charge -0.02440930947484432
Atom ID 10, Charge -0.12164625649378102
Atom ID 11, Charge -0.12164639542378985
Atom ID 12, Charge -0.010945158179130665
Atom ID 13, Charge -0.026217246839284947
Atom ID 14, Charge -0.026576757946398466
Atom ID 15, Charge -0.10367444809282578
Atom ID 16, Charge -0.021993690164771706
Atom ID 17, Charge -0.02384744340034839
Atom ID 18, Charge -0.010945048349441322
Atom ID 19, Charge -0.026217353330640236
Atom ID 20, Charge -0.026576696315173898
Atom ID 21, Charge -0.10367480932813145
Atom ID 22, Charge -0.021993680876445154
Atom ID 23, Charge -0.02384746860932374
Atom ID 24, Charge -0.010945051963909158
Atom ID 25, Charge -0.026576729459152126
Atom ID 26, Charge -0.026217340008616752
Atom ID 27, Charge -0.10367477947728787
Atom ID 28, Charge -0.02384746246756375
Atom ID 29, Charge -0.021993685682822672
Atom ID 30, Charge -0.010945118358894668
Atom ID 31, Charge -0.026576834859020515
Atom ID 32, Charge -0.026217334356257282
Atom ID 33, Charge -0.10367426362524501
Atom ID 34, Charge -0.023847454095482945
Atom ID 35, Charge -0.021993701794525755
Atom ID 36, Charge -0.06572311604259795
Atom ID 37, Charge -0.017932340071243225
Atom ID 38, Charge -0.017932322623072317
Atom ID 39, Charge -0.02633411949353892
Atom ID 40, Charge -0.12174292204333881
Atom ID 41, Charge -0.12174287894126046
Atom ID 42, Charge -0.06572309955544853
Atom ID 43, Charge -0.017932343536815054
Atom ID 44, Charge -0.01793233803208416
Atom ID 45, Charge -0.026334162259848526
Atom ID 46, Charge -0.1217428812578234
Atom ID 47, Charge -0.12174294994024937
Atom ID 48, Charge -0.03351850649777255
Atom ID 49, Charge -0.02573634463146668
Atom ID 50, Charge -0.025736309124178014
Atom ID 51, Charge -0.018753930353620163
Atom ID 52, Charge -0.026644035266582655
Atom ID 53, Charge -0.0266440829411545
Atom ID 54, Charge -0.033518502304454856
Atom ID 55, Charge -0.025736346376243446
Atom ID 56, Charge -0.025736376995409316
Atom ID 57, Charge -0.018753962585974726
Atom ID 58, Charge -0.02664404655107777
Atom ID 59, Charge -0.0266440773138088
Atom ID 60, Charge -0.035980832374657545
Atom ID 61, Charge -0.021762165787298393
Atom ID 62, Charge -0.008721150625119911
Atom ID 63, Charge -0.027782257977982283
Atom ID 64, Charge -0.031243627519825345
Atom ID 65, Charge -0.029537677844141186
Atom ID 66, Charge -0.03598067384885617
Atom ID 67, Charge -0.021762167215050532
Atom ID 68, Charge -0.00872117338604017
Atom ID 69, Charge -0.027782339379769816
Atom ID 70, Charge -0.03124352508812933
Atom ID 71, Charge -0.029537688093455472
Atom ID 72, Charge -0.035980693901068506
Atom ID 73, Charge -0.008721118279463091
Atom ID 74, Charge -0.021762067862368895
Atom ID 75, Charge -0.027782329509279613
Atom ID 76, Charge -0.02953768433379622
Atom ID 77, Charge -0.031243504694227653
Atom ID 78, Charge -0.03598076060576272
Atom ID 79, Charge -0.00872116566530412
Atom ID 80, Charge -0.02176207855007739
Atom ID 81, Charge -0.027782318812195506
Atom ID 82, Charge -0.029537663532993363
Atom ID 83, Charge -0.031243626839174254
Atom ID 84, Charge -0.033205329773073444
Atom ID 85, Charge -0.024492732037844966
Atom ID 86, Charge -0.024492752332703205
Atom ID 87, Charge -0.003729982303230628
Atom ID 88, Charge -0.02463747046781073
Atom ID 89, Charge -0.024637462538066757
Atom ID 90, Charge -0.033205304232309274
Atom ID 91, Charge -0.024492790082692117
Atom ID 92, Charge -0.024492773434784176
Atom ID 93, Charge -0.0037300163172133693
Atom ID 94, Charge -0.024637451418026757
Atom ID 95, Charge -0.024637507532660585
Atom ID 96, Charge -0.006849983252024572
Atom ID 97, Charge -0.016659166817115434
Atom ID 98, Charge -0.01665891583335366
Atom ID 99, Charge 0.004173835451414476
Atom ID 100, Charge -0.002534891503876757
Atom ID 101, Charge -0.0025348095414088334
Atom ID 102, Charge -0.006849891911594241
Atom ID 103, Charge -0.01665927755654284
Atom ID 104, Charge -0.016658884310222
Atom ID 105, Charge 0.00417406965311784
Atom ID 106, Charge -0.0025348516482095462
Atom ID 107, Charge -0.00253484817921823
Atom ID 108, Charge -0.11190099740348458
Atom ID 109, Charge -0.07512555825239264
Atom ID 110, Charge -0.07880452749605826
Atom ID 111, Charge -0.0029279808467395085
Atom ID 112, Charge -0.020484223852321293
Atom ID 113, Charge -0.018201983945525413
Atom ID 114, Charge -0.11190181878215988
Atom ID 115, Charge -0.0751248437820955
Atom ID 116, Charge -0.07880477625019022
Atom ID 117, Charge -0.002927975198958599
Atom ID 118, Charge -0.02048428645708178
Atom ID 119, Charge -0.018202073610656733
Atom ID 120, Charge -0.11190478974685014
Atom ID 121, Charge -0.0788067934155059
Atom ID 122, Charge -0.07513130987699235
Atom ID 123, Charge -0.002927579755316323
Atom ID 124, Charge -0.018202917767384363
Atom ID 125, Charge -0.020485407214580142
Atom ID 126, Charge -0.11190356593181594
Atom ID 127, Charge -0.07880649186440536
Atom ID 128, Charge -0.07512891707981151
Atom ID 129, Charge -0.002927645978138216
Atom ID 130, Charge -0.018202795072848055
Atom ID 131, Charge -0.02048507995133786
Atom ID 132, Charge -0.028981517261615686
Atom ID 133, Charge -0.017489773132270514
Atom ID 134, Charge -0.017490197571635058
Atom ID 135, Charge 0.006103934728431071
Atom ID 136, Charge -0.019720072019332235
Atom ID 137, Charge -0.019720177052066745
Atom ID 138, Charge -0.028981467851618703
Atom ID 139, Charge -0.01748981722842302
Atom ID 140, Charge -0.017490176595418738
Atom ID 141, Charge 0.006103923155524882
Atom ID 142, Charge -0.0197200703345235
Atom ID 143, Charge -0.01972016207904037
Atom ID 144, Charge 0.054225361207195455
Atom ID 145, Charge 0.05441156699926886
Atom ID 146, Charge 0.2885432935642376
Atom ID 147, Charge 0.029432362171319393
Atom ID 148, Charge 0.029432288878625368
Atom ID 149, Charge 0.02943229760937316
Atom ID 150, Charge 0.029432407749448886
Atom ID 151, Charge 0.036477721774882954
Atom ID 152, Charge 0.03647745550836223
Atom ID 153, Charge 0.03647753072478088
Atom ID 154, Charge 0.03647792058551058
Atom ID 155, Charge 0.029129263558880014
Atom ID 156, Charge 0.02912930758697929
Atom ID 157, Charge 0.029129309085811572
Atom ID 158, Charge 0.029129266051780678
Atom ID 159, Charge 0.050246087384606786
Atom ID 160, Charge 0.03976252389339385
Atom ID 161, Charge 0.03571193067678036
Atom ID 162, Charge 0.05024514628848842
Atom ID 163, Charge 0.03977078268646517
Atom ID 164, Charge 0.035711208199136424
Atom ID 165, Charge 0.05023819394726292
Atom ID 166, Charge 0.035708938080180164
Atom ID 167, Charge 0.03974235530309511
Atom ID 168, Charge 0.05024074538277068
Atom ID 169, Charge 0.035709915298731354
Atom ID 170, Charge 0.03975046793593884
Atom ID 171, Charge 0.08459860912044603
Atom ID 172, Charge 0.07838164022745397
Atom ID 173, Charge 0.08427110640626034
Atom ID 174, Charge 0.07812353086919566
Atom ID 175, Charge 0.2000415680337868
Atom ID 176, Charge 0.19434820567508426
Atom ID 177, Charge 0.16670394760592
Atom ID 178, Charge 0.1671572041730358
Atom ID 179, Charge 0.1667041730232106
Atom ID 180, Charge 0.16715702990635606
Atom ID 181, Charge 0.19888634889608436
Atom ID 182, Charge 0.19432949608938177
Atom ID 183, Charge 0.1725161538998008
Atom ID 184, Charge 0.1723061765797791
Atom ID 185, Charge 0.17375897005446062
Atom ID 186, Charge 0.17313730536451022
Atom ID 187, Charge 0.17375896161463045
Atom ID 188, Charge 0.17313731419027079
Atom ID 189, Charge 0.17424887644592424
Atom ID 190, Charge 0.17353164589065972
Atom ID 191, Charge 0.16929554711026373
Atom ID 192, Charge 0.17093981748425247
Atom ID 193, Charge 0.1716902332902439
Atom ID 194, Charge 0.1709388668494909
Atom ID 195, Charge 0.17168817717855722
Atom ID 196, Charge 0.1761843789681321
Atom ID 197, Charge 0.17653394292352997
Atom ID 198, Charge 0.6950580965807296
Atom ID 199, Charge -0.22643187938100695
Atom ID 200, Charge -0.05487204358864872
Atom ID 201, Charge -0.05589486842332825
